audit_id,text_id,passage_id,condition,author_id,author_name,work_id,work_title,qc_status,qc_flags,original_text_sha256,rewritten_text_sha256
E4_001,SHELLEY_FRANKENSTEIN_025__paraphrase,SHELLEY_FRANKENSTEIN_025,paraphrase,shelley,Mary Shelley,frankenstein,Frankenstein or The Modern Prometheus,warning,length_soft_warning,77f5cf90eec74562cdab8509684dd6b2e0fcab7ff2cf1679deb384b80c3aab0f,7cfb15ec7d85c35c9dd40052af6f478e4f3fc012d24a2fc672eb7fad63d74d7b
E4_002,WILDE_DORIAN_GRAY_001__paraphrase,WILDE_DORIAN_GRAY_001,paraphrase,wilde,Oscar Wilde,dorian_gray,The Picture of Dorian Gray,pass,,2cbbd75d8772b25f0fa765a54ad998644e2878e3ddf146e349d18ce7b9553163,a3620533f19024a5ec714709887d5e892a2a7b51487ecb0438cdf1ac88f64103
E4_003,POE_WORKS_VOLUME_2_004__paraphrase,POE_WORKS_VOLUME_2_004,paraphrase,poe,Edgar Allan Poe,works_volume_2,The Works of Edgar Allan Poe Volume 2,pass,,2321947260ea3886cfa0262b14cbb9cca894cd029da738bb4df9c946049cbd96,0a092e7c47030e277b6c58aa7e2789dba9964cd02936dcc46d7463118a448d20
E4_004,WILDE_DORIAN_GRAY_005__simplify,WILDE_DORIAN_GRAY_005,simplify,wilde,Oscar Wilde,dorian_gray,The Picture of Dorian Gray,pass,,588c75e6cfcba6638a97e892c661b45018dafe26842fccbd1e6f1134bd687cad,7f781d6db2f7ce54d6895484a7db953c8d299430e55128cab62ceaa65334af81
E4_005,POE_WORKS_VOLUME_1_006__simplify,POE_WORKS_VOLUME_1_006,simplify,poe,Edgar Allan Poe,works_volume_1,The Works of Edgar Allan Poe Volume 1,pass,,97dbc20e9d6eed9db2303a948baf3e813deabaf1aec54bbbccb175be5ecab420,ac9c8ec02bdb71795895a7b3b4732cd8720fca7c73de9aa939c3d1f78ac40f38
E4_006,SHELLEY_FRANKENSTEIN_029__simplify,SHELLEY_FRANKENSTEIN_029,simplify,shelley,Mary Shelley,frankenstein,Frankenstein or The Modern Prometheus,pass,,03fb86d5dce0043adb3224815f51fabfcb0ae989d39b1d0f242c54e24faed85f,7b777b66b2b18a3f0848e2c146e27ffe96d0b201d1b839aac74b1e268ba67d73
E4_007,DICKENS_GREAT_EXPECTATIONS_002__simplify,DICKENS_GREAT_EXPECTATIONS_002,simplify,dickens,Charles Dickens,great_expectations,Great Expectations,pass,,218b698f7f28079392a585601218df8d3d2ae59d6f4efe1bad1f0918b34b0701,6c4cca3eb72ec108678b371394754465373b26fd3c84c05ba71dc12e5126c464
E4_008,DICKENS_OLIVER_TWIST_005__modernize,DICKENS_OLIVER_TWIST_005,modernize,dickens,Charles Dickens,oliver_twist,Oliver Twist,pass,,ce3920c40cedf9fbf06682fc15ad11a697e09a5278350fe87a97639822bdeeca,9d5283f30150ed4e09abfb4cd1ba85b4aeb40435d983f35b5f82cebda9043966
E4_009,SHELLEY_FRANKENSTEIN_030__paraphrase,SHELLEY_FRANKENSTEIN_030,paraphrase,shelley,Mary Shelley,frankenstein,Frankenstein or The Modern Prometheus,pass,,122bad6f446976101e332af8e28815927f774b013c0bd632030a9a98280dd5ab,079b271fe9506f963e8344225f63731da01a9e35bf1ecafe7f9efa5bf75d3e96
E4_010,DICKENS_GREAT_EXPECTATIONS_014__paraphrase,DICKENS_GREAT_EXPECTATIONS_014,paraphrase,dickens,Charles Dickens,great_expectations,Great Expectations,pass,,db0f6e9482429d8e4f32eb38aee208a81be016099bd3bf247a9c3b8aebcb4629,b6b7ac8d0f53bf0dccbbdf8ec0f98fe7053010b349e197e22ef5deb4f2985db9
E4_011,WILDE_LORD_ARTHUR_STORIES_027__simplify,WILDE_LORD_ARTHUR_STORIES_027,simplify,wilde,Oscar Wilde,lord_arthur_stories,Lord Arthur Savile's Crime and Other Stories,pass,,f232fb14c31183bd62ec736df6d474d0f3fa96295cc87a457468d6ae4b922663,fab5623514d67283df2ad130e99ab4cc7a38a3a5d14e67725e9b8f1c9b11341b
E4_012,SHELLEY_THE_LAST_MAN_028__modernize,SHELLEY_THE_LAST_MAN_028,modernize,shelley,Mary Shelley,the_last_man,The Last Man,pass,,311d300c31564cf120e9a2c1b5a05282802f886f8971a64016e45b983d6b8167,6baa8c36051fa0e564011a45c527cdc14855a815d36e7f882cae51514da20911
E4_013,DICKENS_GREAT_EXPECTATIONS_003__modernize,DICKENS_GREAT_EXPECTATIONS_003,modernize,dickens,Charles Dickens,great_expectations,Great Expectations,pass,,d9abe1f5fe4b4e4ff1e87965a3b6e85df5fb12050d26cf788c79103e6ac956f8,9ffaf3a997bcb5d8345c5526195286d55ae294ca789b7bf710aff5d7a276dfcc
E4_014,SHELLEY_FRANKENSTEIN_008__modernize,SHELLEY_FRANKENSTEIN_008,modernize,shelley,Mary Shelley,frankenstein,Frankenstein or The Modern Prometheus,pass,,ee8fd56a19d0b024bed155298e790d8d579707dffd799bd04125bf40dd2b3ca9,48aedee7da643010e9d781a60156edc089e62a309c3f1c17af111293c8faac80
E4_015,TWAIN_TOM_SAWYER_011__paraphrase,TWAIN_TOM_SAWYER_011,paraphrase,twain,Mark Twain,tom_sawyer,The Adventures of Tom Sawyer,pass,,afae40001139d5dd8c12930582ca2b63167b870ef38f3495e5b8a9bbb8cdddc6,b556fb4d1be30ac0fe4243faedc22f2b105d9287c2d7ccfa1aa88695a9b0311f
E4_016,POE_WORKS_VOLUME_1_018__simplify,POE_WORKS_VOLUME_1_018,simplify,poe,Edgar Allan Poe,works_volume_1,The Works of Edgar Allan Poe Volume 1,warning,length_hard_warning,2a66548ead5c95e4f39d0065fca05b2c5719b4b5b60adacf5b4330e3552d2ef2,c18504b254e1e4d10aea06b111e480887336c7a8c98b760f8f7778831f4f7952
E4_017,WILDE_LORD_ARTHUR_STORIES_025__simplify,WILDE_LORD_ARTHUR_STORIES_025,simplify,wilde,Oscar Wilde,lord_arthur_stories,Lord Arthur Savile's Crime and Other Stories,pass,,3ad00786c095a449beb8e0af60fd42f773d3b83a7356e136f21a3fff5d45d5c9,780660f86527dbd0f989df1f26c2ddfa92e95f9fbc1cea09347826bd18cad353
E4_018,WILDE_DORIAN_GRAY_014__modernize,WILDE_DORIAN_GRAY_014,modernize,wilde,Oscar Wilde,dorian_gray,The Picture of Dorian Gray,pass,,b021ae3bf83d2b91fedc3a9fe6f1e85b3efbece52ca32e8c2cf2ccd4f0d7f325,89f919c5072d2bd6dd65f8109073b10ebb609f233d10ba70b613759d76ed7b2c
E4_019,POE_WORKS_VOLUME_2_027__simplify,POE_WORKS_VOLUME_2_027,simplify,poe,Edgar Allan Poe,works_volume_2,The Works of Edgar Allan Poe Volume 2,pass,,37cfb0440bbdde0a65a46d881f00d13fdb9c834f5ba71d3023e9589d51b9c9f8,f580e8690a5189a675a3ed97352ac0d757c1c26ce1b70095661adb620633bd70
E4_020,POE_WORKS_VOLUME_1_012__modernize,POE_WORKS_VOLUME_1_012,modernize,poe,Edgar Allan Poe,works_volume_1,The Works of Edgar Allan Poe Volume 1,pass,,0bb47281116bddcc40487a3f4960c3d58c7faafd702b936d03e2369534b315b6,83c401406b5025f10b3e8597c80f881340101a110ef90046f2b56f6c9e56cbd7
E4_021,WILDE_DORIAN_GRAY_025__paraphrase,WILDE_DORIAN_GRAY_025,paraphrase,wilde,Oscar Wilde,dorian_gray,The Picture of Dorian Gray,pass,,5aa307c98167a2c51bf4a2cfbf2bcf41e68d4945da56dd720ab6847b6f09f717,8225b5d15a531d1ff2c80cbf3a67fff8e586d05e3aa5e3c748d3a6217a6ae26f
E4_022,AUSTEN_PRIDE_AND_PREJUDICE_014__paraphrase,AUSTEN_PRIDE_AND_PREJUDICE_014,paraphrase,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,3b2aef90afd46e2eec091f804d0ba15afb25fc42be59ab77f756930383752c16,2116f09e7d46713aee7a184359d733f8a687659b8d1afcb15ead67367c2533da
E4_023,POE_WORKS_VOLUME_1_029__modernize,POE_WORKS_VOLUME_1_029,modernize,poe,Edgar Allan Poe,works_volume_1,The Works of Edgar Allan Poe Volume 1,pass,,b97e9ea1fb0719e51a27d1cf9329e8fa137e15598801b96c191f1b143fadcdc5,438ba17d500eb231f5861b05c3fd0918d8eb289ba9a841b901c9126046e88970
E4_024,WILDE_LORD_ARTHUR_STORIES_019__modernize,WILDE_LORD_ARTHUR_STORIES_019,modernize,wilde,Oscar Wilde,lord_arthur_stories,Lord Arthur Savile's Crime and Other Stories,pass,,8e02b168d913ac25a8445b0bf2b6a265ceff37b0a54c8cb06eb9a48bf1452332,f2502286cc23e23a85d4cdeb8e67afac70e3469759bd59db783a7bfd3563810f
E4_025,POE_WORKS_VOLUME_1_030__paraphrase,POE_WORKS_VOLUME_1_030,paraphrase,poe,Edgar Allan Poe,works_volume_1,The Works of Edgar Allan Poe Volume 1,warning,length_soft_warning,85a932b59dc6ae3b07dfd0e31c73a644543b6c48460f5fe06af87bdb1836d2b6,9fb42fce3684c31555d91c58a0c0d54f939d54a8e0d759b1551b93d062b2bfae
E4_026,WILDE_LORD_ARTHUR_STORIES_005__paraphrase,WILDE_LORD_ARTHUR_STORIES_005,paraphrase,wilde,Oscar Wilde,lord_arthur_stories,Lord Arthur Savile's Crime and Other Stories,pass,,e7420f25c38c1b36571177c982ddfce90320ffcbe81229d0d7a282a5b67fd12d,10136d24e83f309520525618db27c71d0494ae2fa54a5f3b2303a4695df8143c
E4_027,POE_WORKS_VOLUME_2_016__simplify,POE_WORKS_VOLUME_2_016,simplify,poe,Edgar Allan Poe,works_volume_2,The Works of Edgar Allan Poe Volume 2,pass,,cbae24533a8b3f18c13bd3d8058c35903f14ae9d843eaac146fe27e5439061ed,bf6c0764cc2108e8bb895aa6cdf1e42fb9a0aad5b4669d342abe5073a732c20b
E4_028,DICKENS_OLIVER_TWIST_030__simplify,DICKENS_OLIVER_TWIST_030,simplify,dickens,Charles Dickens,oliver_twist,Oliver Twist,pass,,608e17218a1255748645fee72067b047670420a525fcf4e1c90e8e983ef064a9,cf4bd87f42d87463ad70ea7876511aeb33885db1ea97d352c6302e3efb41b9f1
E4_029,TWAIN_HUCKLEBERRY_FINN_006__simplify,TWAIN_HUCKLEBERRY_FINN_006,simplify,twain,Mark Twain,huckleberry_finn,Adventures of Huckleberry Finn,pass,,cfac0b9fc8b6633f064bc649a7c16746e872186e275e24a5e55123b1600ecf84,d274869f85a12be2f59b53787fdb1d337edfda8e3253d010e9ea47a2863784ab
E4_030,POE_WORKS_VOLUME_1_003__paraphrase,POE_WORKS_VOLUME_1_003,paraphrase,poe,Edgar Allan Poe,works_volume_1,The Works of Edgar Allan Poe Volume 1,warning,length_hard_warning,c75248e67bdb2908871fcf3a05896a0ef81aba42a7449c24ff95d79c7577d985,786f2ff836c308c7e03a2856b9a28fb4881c4fa4b2e835707b9fe775ec484236
E4_031,POE_WORKS_VOLUME_2_026__simplify,POE_WORKS_VOLUME_2_026,simplify,poe,Edgar Allan Poe,works_volume_2,The Works of Edgar Allan Poe Volume 2,pass,,d15cd329fd973b2f3538153168f36ec53308095697db316c52cda3d7fd4ee48d,a1135e94e685f63dd357e4555e6ff96e6a58ef810c924f749e70c303c82ac1ea
E4_032,WILDE_LORD_ARTHUR_STORIES_003__modernize,WILDE_LORD_ARTHUR_STORIES_003,modernize,wilde,Oscar Wilde,lord_arthur_stories,Lord Arthur Savile's Crime and Other Stories,pass,,3a0c679c689650a2fb7c9fa1486b9c06c7257474dd5874d3158fa9cd7e600883,f6986d12ef8912724694debfab79da64561beb6524b54ef8b8aa4ccdf2e142a1
E4_033,SHELLEY_THE_LAST_MAN_012__modernize,SHELLEY_THE_LAST_MAN_012,modernize,shelley,Mary Shelley,the_last_man,The Last Man,pass,,354eb1cee0f5373bee7c2b5f3329cd8c02395bd7a8d998f965cae8c39268e7fe,7f35672aa0988c08daa6868fa73411010e3ef211ea9a7eb6e518fff3bfb43e9a
E4_034,TWAIN_TOM_SAWYER_015__simplify,TWAIN_TOM_SAWYER_015,simplify,twain,Mark Twain,tom_sawyer,The Adventures of Tom Sawyer,warning,length_soft_warning,e4facf03d8d538cc82385d39a564b8c4d3f686f33615c7311488472010958250,29280afabbf712b69c13f82489e02cfdb4a5b461f4d357a4c7a74bfe7ecf88d2
E4_035,SHELLEY_THE_LAST_MAN_023__simplify,SHELLEY_THE_LAST_MAN_023,simplify,shelley,Mary Shelley,the_last_man,The Last Man,pass,,94342df4e2ae76ceb1afec36fe7d4d2c74f079baaf6c971e41ae74e42b3fe663,d8172a00c01f557659e8c17d21a58f6dbe3f83fc9224dc0d3459ca18d85af098
E4_036,SHELLEY_THE_LAST_MAN_027__paraphrase,SHELLEY_THE_LAST_MAN_027,paraphrase,shelley,Mary Shelley,the_last_man,The Last Man,pass,,3a8b4698eb81edac3a69cf651396919b2437891bfb76d4633f7f6221cd5099f8,6d98e3b2f959d45048eab6a42372c2412da73d6f758019a9802587a110bae073
E4_037,TWAIN_HUCKLEBERRY_FINN_007__modernize,TWAIN_HUCKLEBERRY_FINN_007,modernize,twain,Mark Twain,huckleberry_finn,Adventures of Huckleberry Finn,pass,,2fccbb2bd78d7153634e584eec86e626f75490f3530346c664c5fa384eddef37,bb4b077ca6bbf9e03d0fcf87708afcf5f9c5e919cd647d49e33358ec533a5b0c
E4_038,POE_WORKS_VOLUME_2_009__paraphrase,POE_WORKS_VOLUME_2_009,paraphrase,poe,Edgar Allan Poe,works_volume_2,The Works of Edgar Allan Poe Volume 2,pass,,ad11667b3b5c891993709f23b9db87b8a23d546427ed9a789065826d2ff62b19,373d5ad898840fe649ce7ebb074881bf3ca3604deda095776b2b3e350a361e2b
E4_039,POE_WORKS_VOLUME_1_025__paraphrase,POE_WORKS_VOLUME_1_025,paraphrase,poe,Edgar Allan Poe,works_volume_1,The Works of Edgar Allan Poe Volume 1,pass,,046136680cd045e10966ca4f089d3cc56a279f0921c0603b136e2fdefbe1cc53,fc864d9fd686c8709a15e8da662f86f940d86e158969a2e88b2af38826e98a0b
E4_040,SHELLEY_FRANKENSTEIN_013__modernize,SHELLEY_FRANKENSTEIN_013,modernize,shelley,Mary Shelley,frankenstein,Frankenstein or The Modern Prometheus,pass,,f13b0c482ea8a20edfb876d65bd97b4e04a686c845103f85313c6db63f3177ef,8f88875993c3108727168be48f340fd4627bc3995ddf3ebaf865695d19bda9df
E4_041,AUSTEN_PRIDE_AND_PREJUDICE_012__simplify,AUSTEN_PRIDE_AND_PREJUDICE_012,simplify,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,06ddede9f51d40f1d381ae47d52ac75a8d37d829b195123912a8c2a8595c12c2,1dba42f27371e3ea0adf243c0254dffdd46ac319bf1b9f699d1972d433b42536
E4_042,SHELLEY_THE_LAST_MAN_021__paraphrase,SHELLEY_THE_LAST_MAN_021,paraphrase,shelley,Mary Shelley,the_last_man,The Last Man,pass,,828c8ae0d294773f10be9451a3190eaf28d2341d7e5889ff4bb9cbc0a468befd,62499dd4c01ce918aacc47a0e5200f28f117f6f3776b6037344d6ebb74906872
E4_043,AUSTEN_PRIDE_AND_PREJUDICE_016__modernize,AUSTEN_PRIDE_AND_PREJUDICE_016,modernize,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,d8eeca4bd437e37fff1a7de536205fd86545e6dc760f2e5d82920cd49fd5b564,23bdee037a256c05ea99a9c85851046fd50b4453ceb12095c64fe8636c58f95c
E4_044,AUSTEN_PRIDE_AND_PREJUDICE_026__simplify,AUSTEN_PRIDE_AND_PREJUDICE_026,simplify,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,32c670f36acce153a943f2aab46ae7dc496aee747c41376719c111cbbd4ea560,2604acb57b516e5a44a40f5e228734e34ad6e7c1ba6e1a8d8845a1cf634bfd7b
E4_045,SHELLEY_FRANKENSTEIN_029__modernize,SHELLEY_FRANKENSTEIN_029,modernize,shelley,Mary Shelley,frankenstein,Frankenstein or The Modern Prometheus,pass,,03fb86d5dce0043adb3224815f51fabfcb0ae989d39b1d0f242c54e24faed85f,6432cbf29bd8b3535fb1897c1d45eec09404d06568b93f350ca9afd40bcbfc76
E4_046,SHELLEY_THE_LAST_MAN_017__modernize,SHELLEY_THE_LAST_MAN_017,modernize,shelley,Mary Shelley,the_last_man,The Last Man,pass,,048bd41846dc34bfc415efe895e298264c0981e7dad0f6494c8d76677ec06dce,44a2487d0fb2bff57a976f13b35218e40d7c07ba99444cf5a5c5acb9dc9fad3f
E4_047,AUSTEN_PRIDE_AND_PREJUDICE_028__paraphrase,AUSTEN_PRIDE_AND_PREJUDICE_028,paraphrase,austen,Jane Austen,pride_and_prejudice,Pride and Prejudice,pass,,e3fd8bd71c523d0fc7e1aae3901b2a397fd836cb668c0e8ee7bed19690609301,39d6aa5f0746d4d121742315011b558a7f9af1a9a0df2fbe136728e40af29ce6
E4_048,SHELLEY_THE_LAST_MAN_002__simplify,SHELLEY_THE_LAST_MAN_002,simplify,shelley,Mary Shelley,the_last_man,The Last Man,pass,,5011ac8577f932c9c6316e96a94daa81568379616cd5fa38e9be5b199c3cd62f,6a46f7962f93c55feba2a81c99bd682dc857c309fab8d4ed9d4024a324ea9fc0
