analysis_model_id,sensitivity_subset,feature_family,condition,rows,authors,mean_pairwise_centroid_distance,original_distance,distance_ratio_vs_original
groq_llama_3_3_70b_free,all_rows,all_features,original,120,6,86.486384,86.486384,1.0
groq_llama_3_3_70b_free,all_rows,all_features,paraphrase,120,6,81.766543,86.486384,0.945427
groq_llama_3_3_70b_free,all_rows,all_features,modernize,120,6,74.408143,86.486384,0.860345
groq_llama_3_3_70b_free,all_rows,all_features,simplify,120,6,81.210369,86.486384,0.938996
groq_llama_3_3_70b_free,all_rows,function_word,original,120,6,39.767264,39.767264,1.0
groq_llama_3_3_70b_free,all_rows,function_word,paraphrase,120,6,34.902195,39.767264,0.877661
groq_llama_3_3_70b_free,all_rows,function_word,modernize,120,6,33.904276,39.767264,0.852567
groq_llama_3_3_70b_free,all_rows,function_word,simplify,120,6,37.004001,39.767264,0.930514
groq_llama_3_3_70b_free,all_rows,char3,original,120,6,12.163133,12.163133,1.0
groq_llama_3_3_70b_free,all_rows,char3,paraphrase,120,6,11.098721,12.163133,0.912489
groq_llama_3_3_70b_free,all_rows,char3,modernize,120,6,11.095279,12.163133,0.912206
groq_llama_3_3_70b_free,all_rows,char3,simplify,120,6,12.266919,12.163133,1.008533
groq_llama_3_3_70b_free,all_rows,punctuation,original,120,6,84.337339,84.337339,1.0
groq_llama_3_3_70b_free,all_rows,punctuation,paraphrase,120,6,71.334129,84.337339,0.845819
groq_llama_3_3_70b_free,all_rows,punctuation,modernize,120,6,66.028696,84.337339,0.782912
groq_llama_3_3_70b_free,all_rows,punctuation,simplify,120,6,69.138193,84.337339,0.819782
groq_llama_3_3_70b_free,qc_pass_only,all_features,original,120,6,86.486384,86.486384,1.0
groq_llama_3_3_70b_free,qc_pass_only,all_features,paraphrase,54,6,78.902471,86.486384,0.912311
groq_llama_3_3_70b_free,qc_pass_only,all_features,modernize,60,6,63.203039,86.486384,0.730786
groq_llama_3_3_70b_free,qc_pass_only,all_features,simplify,3,2,168.245329,86.486384,1.945339
groq_llama_3_3_70b_free,qc_pass_only,function_word,original,120,6,39.767264,39.767264,1.0
groq_llama_3_3_70b_free,qc_pass_only,function_word,paraphrase,54,6,39.260472,39.767264,0.987256
groq_llama_3_3_70b_free,qc_pass_only,function_word,modernize,60,6,36.144373,39.767264,0.908898
groq_llama_3_3_70b_free,qc_pass_only,function_word,simplify,3,2,50.875593,39.767264,1.279333
groq_llama_3_3_70b_free,qc_pass_only,char3,original,120,6,12.163133,12.163133,1.0
groq_llama_3_3_70b_free,qc_pass_only,char3,paraphrase,54,6,12.479655,12.163133,1.026023
groq_llama_3_3_70b_free,qc_pass_only,char3,modernize,60,6,11.819812,12.163133,0.971774
groq_llama_3_3_70b_free,qc_pass_only,char3,simplify,3,2,20.818349,12.163133,1.711594
groq_llama_3_3_70b_free,qc_pass_only,punctuation,original,120,6,84.337339,84.337339,1.0
groq_llama_3_3_70b_free,qc_pass_only,punctuation,paraphrase,54,6,73.986351,84.337339,0.877267
groq_llama_3_3_70b_free,qc_pass_only,punctuation,modernize,60,6,58.624817,84.337339,0.695123
groq_llama_3_3_70b_free,qc_pass_only,punctuation,simplify,3,2,165.771572,84.337339,1.965577
