model_id,qc_flag,rows
groq_llama_3_3_70b_free,json_repaired_loose_rewritten_text,110
groq_llama_3_3_70b_free,length_hard_warning,133
groq_llama_3_3_70b_free,length_soft_warning,41
groq_llama_3_3_70b_free,prompt_or_source_leakage_warning,11
groq_qwen_32b_free,json_repaired_loose_rewritten_text,67
groq_qwen_32b_free,length_hard_warning,15
groq_qwen_32b_free,length_soft_warning,18
groq_qwen_32b_free,prompt_or_source_leakage_warning,7
groq_gpt_oss_120b_free,json_repaired_loose_rewritten_text,2
groq_gpt_oss_120b_free,length_hard_warning,34
groq_gpt_oss_120b_free,length_soft_warning,58
groq_gpt_oss_120b_free,prompt_or_source_leakage_warning,17
