analysis_model_id,sensitivity_subset,classifier,split,condition,train_rows,rows,authors,accuracy,macro_f1,weighted_f1,macro_f1_survival_vs_original
groq_llama_3_3_70b_free,all_rows,nearest_centroid,validation,original,84,18,6,0.944444,0.942857,0.942857,1.0
groq_llama_3_3_70b_free,all_rows,nearest_centroid,test,original,84,18,6,0.722222,0.659524,0.659524,1.0
groq_llama_3_3_70b_free,all_rows,nearest_centroid,validation,paraphrase,84,18,6,0.722222,0.665079,0.665079,0.705387
groq_llama_3_3_70b_free,all_rows,nearest_centroid,test,paraphrase,84,18,6,0.611111,0.522222,0.522222,0.791817
groq_llama_3_3_70b_free,all_rows,nearest_centroid,validation,modernize,84,18,6,0.777778,0.745238,0.745238,0.790404
groq_llama_3_3_70b_free,all_rows,nearest_centroid,test,modernize,84,18,6,0.666667,0.57619,0.57619,0.873645
groq_llama_3_3_70b_free,all_rows,nearest_centroid,validation,simplify,84,18,6,0.611111,0.606349,0.606349,0.643098
groq_llama_3_3_70b_free,all_rows,nearest_centroid,test,simplify,84,18,6,0.5,0.470635,0.470635,0.713598
groq_llama_3_3_70b_free,qc_pass_only,nearest_centroid,validation,original,84,18,6,0.944444,0.942857,0.942857,1.0
groq_llama_3_3_70b_free,qc_pass_only,nearest_centroid,test,original,84,18,6,0.722222,0.659524,0.659524,1.0
groq_llama_3_3_70b_free,qc_pass_only,nearest_centroid,validation,paraphrase,33,10,6,0.6,0.484127,0.580952,0.513468
groq_llama_3_3_70b_free,qc_pass_only,nearest_centroid,test,paraphrase,33,11,6,0.545455,0.388889,0.484848,0.589651
groq_llama_3_3_70b_free,qc_pass_only,nearest_centroid,validation,modernize,40,12,6,0.666667,0.553968,0.636508,0.587542
groq_llama_3_3_70b_free,qc_pass_only,nearest_centroid,test,modernize,40,8,4,0.5,0.277778,0.5,0.42118
groq_llama_3_3_70b_free,qc_pass_only,nearest_centroid,validation,simplify,3,0,0,0.0,0.0,0.0,0.0
groq_llama_3_3_70b_free,qc_pass_only,nearest_centroid,test,simplify,3,0,0,0.0,0.0,0.0,0.0
groq_qwen_32b_free,all_rows,nearest_centroid,validation,original,84,18,6,0.944444,0.942857,0.942857,1.0
groq_qwen_32b_free,all_rows,nearest_centroid,test,original,84,18,6,0.722222,0.659524,0.659524,1.0
groq_qwen_32b_free,all_rows,nearest_centroid,validation,paraphrase,84,18,6,0.833333,0.817857,0.817857,0.867424
groq_qwen_32b_free,all_rows,nearest_centroid,test,paraphrase,84,18,6,0.666667,0.57619,0.57619,0.873645
groq_qwen_32b_free,all_rows,nearest_centroid,validation,modernize,84,18,6,0.777778,0.763492,0.763492,0.809764
groq_qwen_32b_free,all_rows,nearest_centroid,test,modernize,84,18,6,0.722222,0.653968,0.653968,0.991576
groq_qwen_32b_free,all_rows,nearest_centroid,validation,simplify,84,18,6,0.666667,0.652778,0.652778,0.69234
groq_qwen_32b_free,all_rows,nearest_centroid,test,simplify,84,18,6,0.666667,0.590909,0.590909,0.895963
