analysis_model_id,sensitivity_subset,classifier,split,condition,rows,authors,accuracy,macro_f1,weighted_f1,accuracy_loss_vs_original,macro_f1_loss_vs_original,weighted_f1_loss_vs_original
groq_llama_3_3_70b_free,all_rows,nearest_centroid,validation,original,18,6,0.944444,0.942857,0.942857,0.0,0.0,0.0
groq_llama_3_3_70b_free,all_rows,nearest_centroid,validation,paraphrase,18,6,0.555556,0.493254,0.493254,0.388888,0.449603,0.449603
groq_llama_3_3_70b_free,all_rows,nearest_centroid,validation,modernize,18,6,0.5,0.477273,0.477273,0.444444,0.465584,0.465584
groq_llama_3_3_70b_free,all_rows,nearest_centroid,validation,simplify,18,6,0.388889,0.285256,0.285256,0.555555,0.657601,0.657601
groq_llama_3_3_70b_free,all_rows,nearest_centroid,test,original,18,6,0.722222,0.659524,0.659524,0.0,0.0,0.0
groq_llama_3_3_70b_free,all_rows,nearest_centroid,test,paraphrase,18,6,0.611111,0.525,0.525,0.111111,0.134524,0.134524
groq_llama_3_3_70b_free,all_rows,nearest_centroid,test,modernize,18,6,0.722222,0.702778,0.702778,0.0,-0.043254,-0.043254
groq_llama_3_3_70b_free,all_rows,nearest_centroid,test,simplify,18,6,0.333333,0.333333,0.333333,0.388889,0.326191,0.326191
groq_llama_3_3_70b_free,qc_pass_only,nearest_centroid,validation,original,18,6,0.944444,0.942857,0.942857,0.0,0.0,0.0
groq_llama_3_3_70b_free,qc_pass_only,nearest_centroid,validation,paraphrase,10,6,0.4,0.266667,0.32,0.544444,0.67619,0.622857
groq_llama_3_3_70b_free,qc_pass_only,nearest_centroid,validation,modernize,12,6,0.583333,0.428571,0.531746,0.361111,0.514286,0.411111
groq_llama_3_3_70b_free,qc_pass_only,nearest_centroid,validation,simplify,0,0,0.0,0.0,0.0,0.944444,0.942857,0.942857
groq_llama_3_3_70b_free,qc_pass_only,nearest_centroid,test,original,18,6,0.722222,0.659524,0.659524,0.0,0.0,0.0
groq_llama_3_3_70b_free,qc_pass_only,nearest_centroid,test,paraphrase,11,6,0.636364,0.513889,0.568182,0.085858,0.145635,0.091342
groq_llama_3_3_70b_free,qc_pass_only,nearest_centroid,test,modernize,8,4,0.625,0.466667,0.675,0.097222,0.192857,-0.015476
groq_llama_3_3_70b_free,qc_pass_only,nearest_centroid,test,simplify,0,0,0.0,0.0,0.0,0.722222,0.659524,0.659524
groq_qwen_32b_free,all_rows,nearest_centroid,validation,original,18,6,0.944444,0.942857,0.942857,0.0,0.0,0.0
groq_qwen_32b_free,all_rows,nearest_centroid,validation,paraphrase,18,6,0.833333,0.811905,0.811905,0.111111,0.130952,0.130952
groq_qwen_32b_free,all_rows,nearest_centroid,validation,modernize,18,6,0.666667,0.628042,0.628042,0.277777,0.314815,0.314815
groq_qwen_32b_free,all_rows,nearest_centroid,validation,simplify,18,6,0.555556,0.558333,0.558333,0.388888,0.384524,0.384524
groq_qwen_32b_free,all_rows,nearest_centroid,test,original,18,6,0.722222,0.659524,0.659524,0.0,0.0,0.0
groq_qwen_32b_free,all_rows,nearest_centroid,test,paraphrase,18,6,0.555556,0.480952,0.480952,0.166666,0.178572,0.178572
groq_qwen_32b_free,all_rows,nearest_centroid,test,modernize,18,6,0.611111,0.589683,0.589683,0.111111,0.069841,0.069841
groq_qwen_32b_free,all_rows,nearest_centroid,test,simplify,18,6,0.5,0.502778,0.502778,0.222222,0.156746,0.156746
groq_qwen_32b_free,qc_pass_only,nearest_centroid,validation,original,18,6,0.944444,0.942857,0.942857,0.0,0.0,0.0
groq_qwen_32b_free,qc_pass_only,nearest_centroid,validation,paraphrase,15,6,0.8,0.770635,0.773651,0.144444,0.172222,0.169206
