step,description,status,evidence_file,evidence_sha256
1-7,Gutenberg source cleaning and candidate generation,complete,metadata/gutenberg_candidate_generation_summary.csv,8a1bfad258624f8fe6b10f0c1d583f8682e88c6426406b3775ef17d3048b8673
8,Balanced original-passage selection,complete,metadata/selection_summary.csv,74899d9266fc0652f2214f4a378aea70fff56d9c62306562b9ef153298330e8c
9,Controlled rewrite protocol and request generation,complete,metadata/rewrite_request_summary.csv,f20977f24d8c4194c071775efdb27a87db0fc20d09d5221a953ec963f850575e
10,Full rewrite generation and QC,complete,metadata/rewrite_qc_report.csv,62f51e536022b0e9ebb063e84521385dec68a90760757fd0892f3e0e63587f5a
11,Master 1440-row text dataset,complete,metadata/master_text_dataset_summary.csv,8007353ef236d35622a38be60326c4f033109771a24acdf3d69f6abf0fc55f1e
12,Stylometric feature extraction,complete,metadata/stylometric_feature_summary.csv,a2a2a7ca82bac889c0b210557ccb8a583242e436e996200a4bb4d429fbac7cb1
13,Modeling matrices and passage-level split,complete,metadata/modeling_split_summary.csv,01ea5558880350e6591f7eef382c508e92b633eeeebb309f5fec3d35f715b1a2
14,Original-condition author classification baseline,complete,metadata/original_author_baseline_metrics.csv,0547f6875d49e3934297fa93927b064786b9f022398d4f2207457d690d2189ef
15,Train-on-original to rewritten degradation experiment,complete,metadata/original_to_rewritten_degradation_summary.csv,5696c94d39fe3cc362d1cf97c340535adcbc4ef0d45f5516837514fd69afaf7a
16,Same-condition rewritten author classification,complete,metadata/rewritten_condition_author_survival_summary.csv,88b28da4d23e855c341c4b2fc8e8944ec2f17e0ea40f74d64437c30f35d9ef57
17,Burrows Delta and inter-author distance analysis,complete,metadata/inter_author_distance_summary.csv,922beb64f638ac9b03c687b0f93f9cca48100fb4c88fd2b956eac3b61aa6716d
18,Feature-family vulnerability analysis,complete,metadata/feature_family_vulnerability_summary.csv,e48dc8c3005099cd2c996fa51fdee3643c56806abb907a931bc0100d0d7fedc6
19,"Statistical tables, bootstrap summaries, and figures",complete,metadata/step19_tables_figures_manifest.csv,6fece7adf0c0f570d5d28f9f8d62821ef2e2afc7ece82c0b811071f51cc3bedd
20,Final reproducibility audit,complete,metadata/final_reproducibility_manifest.csv,a38f44c23d6090d7b3cc928ed84ac79f9189c9713422a74a9719f87945ff5383
