fold_id,feature_set,condition,pair_count,mean_burrows_delta,median_burrows_delta,min_burrows_delta,max_burrows_delta,std_burrows_delta,distance_ratio_vs_original
work_fold_1,function_word,original,15,0.457356185,0.459679464,0.288776033,0.622746481,0.090858861,1.0
work_fold_1,function_word,paraphrase,15,0.40143172,0.419160593,0.266219247,0.546250008,0.086292439,0.877722293
work_fold_1,function_word,modernize,15,0.43189014,0.431141858,0.265400064,0.602928809,0.100866019,0.944319009
work_fold_1,function_word,simplify,15,0.415688618,0.425435838,0.26645951,0.583541364,0.094652146,0.908894711
work_fold_1,all_features,original,15,0.485855455,0.481363932,0.368178761,0.613664462,0.078013886,1.0
work_fold_1,all_features,paraphrase,15,0.429119222,0.450196669,0.321021708,0.533949751,0.072167936,0.883224049
work_fold_1,all_features,modernize,15,0.452930902,0.481600605,0.329853925,0.578817656,0.08565439,0.932233852
work_fold_1,all_features,simplify,15,0.443906136,0.475986539,0.314427951,0.568877263,0.080035482,0.913658848
work_fold_2,function_word,original,15,0.537182303,0.503717273,0.367244406,0.75875361,0.099791613,1.0
work_fold_2,function_word,paraphrase,15,0.414426947,0.415930304,0.324698799,0.510162691,0.056324887,0.771482874
work_fold_2,function_word,modernize,15,0.451616493,0.464560157,0.345347105,0.561263389,0.064477386,0.840713647
work_fold_2,function_word,simplify,15,0.439330966,0.449968529,0.341866575,0.51525408,0.05747173,0.817843335
work_fold_2,all_features,original,15,0.557995584,0.547641329,0.363736942,0.829143061,0.118655353,1.0
work_fold_2,all_features,paraphrase,15,0.445008752,0.44213418,0.35434688,0.540310693,0.057526652,0.797513037
work_fold_2,all_features,modernize,15,0.485227261,0.474515052,0.349337823,0.655748239,0.082159203,0.869589787
work_fold_2,all_features,simplify,15,0.470257681,0.454439846,0.35312683,0.608126543,0.07169998,0.84276237
mean_across_folds,function_word,original,30,0.497269244,0.481698369,0.328010219,0.690750045,0.095325237,1.0
mean_across_folds,function_word,paraphrase,30,0.407929333,0.417545448,0.295459023,0.52820635,0.071308663,0.824602584
mean_across_folds,function_word,modernize,30,0.441753316,0.447851007,0.305373584,0.582096099,0.082671702,0.892516328
mean_across_folds,function_word,simplify,30,0.427509792,0.437702184,0.304163043,0.549397722,0.076061938,0.863369023
mean_across_folds,all_features,original,30,0.521925519,0.514502631,0.365957852,0.721403761,0.098334619,1.0
mean_across_folds,all_features,paraphrase,30,0.437063987,0.446165424,0.337684294,0.537130222,0.064847294,0.840368543
mean_across_folds,all_features,modernize,30,0.469079081,0.478057829,0.339595874,0.617282948,0.083906796,0.900911819
mean_across_folds,all_features,simplify,30,0.457081908,0.465213192,0.33377739,0.588501903,0.075867731,0.878210609
