fold_id,model,condition,accuracy,macro_f1,weighted_f1,rows,baseline_condition,macro_f1_difference_vs_original,macro_f1_survival_ratio
work_fold_1,nearest_centroid,original,0.561111,0.541701,0.541701,180,original,0.0,1.0
work_fold_1,diagonal_gaussian_nb,original,0.6,0.566607,0.566607,180,original,0.0,1.0
work_fold_1,linear_discriminant_shrinkage,original,0.572222,0.561559,0.561559,180,original,0.0,1.0
work_fold_1,nearest_centroid,paraphrase,0.527778,0.522578,0.522578,180,original,-0.019123,0.964698
work_fold_1,diagonal_gaussian_nb,paraphrase,0.527778,0.522624,0.522624,180,original,-0.043983,0.922375
work_fold_1,linear_discriminant_shrinkage,paraphrase,0.522222,0.521552,0.521552,180,original,-0.040007,0.928757
work_fold_1,nearest_centroid,modernize,0.555556,0.533052,0.533052,180,original,-0.008649,0.984034
work_fold_1,diagonal_gaussian_nb,modernize,0.605556,0.595168,0.595168,180,original,0.028561,1.050407
work_fold_1,linear_discriminant_shrinkage,modernize,0.533333,0.515784,0.515784,180,original,-0.045775,0.918486
work_fold_1,nearest_centroid,simplify,0.5,0.478218,0.478218,180,original,-0.063483,0.882808
work_fold_1,diagonal_gaussian_nb,simplify,0.55,0.53243,0.53243,180,original,-0.034177,0.939681
work_fold_1,linear_discriminant_shrinkage,simplify,0.511111,0.492847,0.492847,180,original,-0.068712,0.877641
work_fold_2,nearest_centroid,original,0.683333,0.660607,0.660607,180,original,0.0,1.0
work_fold_2,diagonal_gaussian_nb,original,0.644444,0.624263,0.624263,180,original,0.0,1.0
work_fold_2,linear_discriminant_shrinkage,original,0.7,0.675356,0.675356,180,original,0.0,1.0
work_fold_2,nearest_centroid,paraphrase,0.55,0.542338,0.542338,180,original,-0.118269,0.820969
work_fold_2,diagonal_gaussian_nb,paraphrase,0.522222,0.513061,0.513061,180,original,-0.111202,0.821867
work_fold_2,linear_discriminant_shrinkage,paraphrase,0.555556,0.54825,0.54825,180,original,-0.127106,0.811794
work_fold_2,nearest_centroid,modernize,0.594444,0.577143,0.577143,180,original,-0.083464,0.873656
work_fold_2,diagonal_gaussian_nb,modernize,0.583333,0.572185,0.572185,180,original,-0.052078,0.916577
work_fold_2,linear_discriminant_shrinkage,modernize,0.605556,0.595161,0.595161,180,original,-0.080195,0.881255
work_fold_2,nearest_centroid,simplify,0.633333,0.623474,0.623474,180,original,-0.037133,0.94379
work_fold_2,diagonal_gaussian_nb,simplify,0.611111,0.596201,0.596201,180,original,-0.028062,0.955048
work_fold_2,linear_discriminant_shrinkage,simplify,0.611111,0.605438,0.605438,180,original,-0.069918,0.896472
mean_across_folds,nearest_centroid,original,0.622222,0.601154,0.601154,360,original,0.0,1.0
mean_across_folds,diagonal_gaussian_nb,original,0.622222,0.595435,0.595435,360,original,0.0,1.0
mean_across_folds,linear_discriminant_shrinkage,original,0.636111,0.618457,0.618457,360,original,0.0,1.0
mean_across_folds,nearest_centroid,paraphrase,0.538889,0.532458,0.532458,360,original,-0.068696,0.892834
mean_across_folds,diagonal_gaussian_nb,paraphrase,0.525,0.517842,0.517842,360,original,-0.077592,0.872121
mean_across_folds,linear_discriminant_shrinkage,paraphrase,0.538889,0.534901,0.534901,360,original,-0.083557,0.870275
mean_across_folds,nearest_centroid,modernize,0.575,0.555098,0.555098,360,original,-0.046057,0.928845
mean_across_folds,diagonal_gaussian_nb,modernize,0.594445,0.583677,0.583677,360,original,-0.011758,0.983492
mean_across_folds,linear_discriminant_shrinkage,modernize,0.569444,0.555473,0.555473,360,original,-0.062985,0.899871
mean_across_folds,nearest_centroid,simplify,0.566666,0.550846,0.550846,360,original,-0.050308,0.913299
mean_across_folds,diagonal_gaussian_nb,simplify,0.580556,0.564315,0.564315,360,original,-0.03112,0.947364
mean_across_folds,linear_discriminant_shrinkage,simplify,0.561111,0.549142,0.549142,360,original,-0.069315,0.887057
