fold_id,model,condition,baseline_condition,accuracy,macro_f1,weighted_f1,accuracy_loss_vs_original,macro_f1_loss_vs_original,weighted_f1_loss_vs_original,rows
work_fold_1,nearest_centroid,original,original,0.561111,0.541701,0.541701,0.0,0.0,0.0,180
work_fold_1,nearest_centroid,paraphrase,original,0.422222,0.362006,0.362006,0.138889,0.179695,0.179695,180
work_fold_1,nearest_centroid,modernize,original,0.511111,0.476399,0.476399,0.05,0.065302,0.065302,180
work_fold_1,nearest_centroid,simplify,original,0.488889,0.448084,0.448084,0.072222,0.093617,0.093617,180
work_fold_1,diagonal_gaussian_nb,original,original,0.6,0.566607,0.566607,0.0,0.0,0.0,180
work_fold_1,diagonal_gaussian_nb,paraphrase,original,0.388889,0.332184,0.332184,0.211111,0.234423,0.234423,180
work_fold_1,diagonal_gaussian_nb,modernize,original,0.483333,0.448156,0.448156,0.116667,0.118451,0.118451,180
work_fold_1,diagonal_gaussian_nb,simplify,original,0.455556,0.410032,0.410032,0.144444,0.156575,0.156575,180
work_fold_1,linear_discriminant_shrinkage,original,original,0.572222,0.561559,0.561559,0.0,0.0,0.0,180
work_fold_1,linear_discriminant_shrinkage,paraphrase,original,0.422222,0.362151,0.362151,0.15,0.199408,0.199408,180
work_fold_1,linear_discriminant_shrinkage,modernize,original,0.522222,0.493343,0.493343,0.05,0.068216,0.068216,180
work_fold_1,linear_discriminant_shrinkage,simplify,original,0.488889,0.447114,0.447114,0.083333,0.114445,0.114445,180
work_fold_2,nearest_centroid,original,original,0.683333,0.660607,0.660607,0.0,0.0,0.0,180
work_fold_2,nearest_centroid,paraphrase,original,0.488889,0.480709,0.480709,0.194444,0.179898,0.179898,180
work_fold_2,nearest_centroid,modernize,original,0.527778,0.521915,0.521915,0.155555,0.138692,0.138692,180
work_fold_2,nearest_centroid,simplify,original,0.511111,0.503451,0.503451,0.172222,0.157156,0.157156,180
work_fold_2,diagonal_gaussian_nb,original,original,0.644444,0.624263,0.624263,0.0,0.0,0.0,180
work_fold_2,diagonal_gaussian_nb,paraphrase,original,0.45,0.433635,0.433635,0.194444,0.190628,0.190628,180
work_fold_2,diagonal_gaussian_nb,modernize,original,0.455556,0.466389,0.466389,0.188888,0.157874,0.157874,180
work_fold_2,diagonal_gaussian_nb,simplify,original,0.422222,0.399191,0.399191,0.222222,0.225072,0.225072,180
work_fold_2,linear_discriminant_shrinkage,original,original,0.7,0.675356,0.675356,0.0,0.0,0.0,180
work_fold_2,linear_discriminant_shrinkage,paraphrase,original,0.494444,0.488885,0.488885,0.205556,0.186471,0.186471,180
work_fold_2,linear_discriminant_shrinkage,modernize,original,0.511111,0.507873,0.507873,0.188889,0.167483,0.167483,180
work_fold_2,linear_discriminant_shrinkage,simplify,original,0.505556,0.503656,0.503656,0.194444,0.1717,0.1717,180
mean_across_folds,nearest_centroid,original,original,0.622222,0.601154,0.601154,0.0,0.0,0.0,360
mean_across_folds,nearest_centroid,paraphrase,original,0.455556,0.421357,0.421357,0.166666,0.179796,0.179796,360
mean_across_folds,nearest_centroid,modernize,original,0.519444,0.499157,0.499157,0.102777,0.101997,0.101997,360
mean_across_folds,nearest_centroid,simplify,original,0.5,0.475768,0.475768,0.122222,0.125387,0.125387,360
mean_across_folds,diagonal_gaussian_nb,original,original,0.622222,0.595435,0.595435,0.0,0.0,0.0,360
mean_across_folds,diagonal_gaussian_nb,paraphrase,original,0.419444,0.38291,0.38291,0.202777,0.212525,0.212525,360
mean_across_folds,diagonal_gaussian_nb,modernize,original,0.469445,0.457272,0.457272,0.152778,0.138162,0.138162,360
mean_across_folds,diagonal_gaussian_nb,simplify,original,0.438889,0.404612,0.404612,0.183333,0.190823,0.190823,360
mean_across_folds,linear_discriminant_shrinkage,original,original,0.636111,0.618457,0.618457,0.0,0.0,0.0,360
mean_across_folds,linear_discriminant_shrinkage,paraphrase,original,0.458333,0.425518,0.425518,0.177778,0.192939,0.192939,360
mean_across_folds,linear_discriminant_shrinkage,modernize,original,0.516666,0.500608,0.500608,0.119445,0.117849,0.117849,360
mean_across_folds,linear_discriminant_shrinkage,simplify,original,0.497223,0.475385,0.475385,0.138888,0.143072,0.143072,360
