ablation_mode,removed_family,model,split,condition,macro_f1,full_macro_f1,macro_f1_delta_vs_full,macro_f1_loss_vs_original,full_macro_f1_loss_vs_original,loss_delta_vs_full,included_feature_count
full_features,none,nearest_centroid,validation,original,0.620187,0.620187,0.0,0.0,0.0,0.0,205
full_features,none,nearest_centroid,validation,paraphrase,0.427045,0.427045,0.0,0.193142,0.193142,0.0,205
full_features,none,nearest_centroid,validation,modernize,0.491152,0.491152,0.0,0.129035,0.129035,0.0,205
full_features,none,nearest_centroid,validation,simplify,0.372384,0.372384,0.0,0.247803,0.247803,0.0,205
full_features,none,nearest_centroid,test,original,0.776931,0.776931,0.0,0.0,0.0,0.0,205
full_features,none,nearest_centroid,test,paraphrase,0.395797,0.395797,0.0,0.381134,0.381134,0.0,205
full_features,none,nearest_centroid,test,modernize,0.56072,0.56072,0.0,0.216211,0.216211,0.0,205
full_features,none,nearest_centroid,test,simplify,0.463636,0.463636,0.0,0.313295,0.313295,0.0,205
minus_length_rhythm,length_rhythm,nearest_centroid,validation,original,0.603729,0.620187,-0.016458,0.0,0.0,0.0,197
minus_length_rhythm,length_rhythm,nearest_centroid,validation,paraphrase,0.418889,0.427045,-0.008156,0.18484,0.193142,-0.008302,197
minus_length_rhythm,length_rhythm,nearest_centroid,validation,modernize,0.536397,0.491152,0.045245,0.067332,0.129035,-0.061703,197
minus_length_rhythm,length_rhythm,nearest_centroid,validation,simplify,0.394362,0.372384,0.021978,0.209367,0.247803,-0.038436,197
minus_length_rhythm,length_rhythm,nearest_centroid,test,original,0.795644,0.776931,0.018713,0.0,0.0,0.0,197
minus_length_rhythm,length_rhythm,nearest_centroid,test,paraphrase,0.381975,0.395797,-0.013822,0.413669,0.381134,0.032535,197
minus_length_rhythm,length_rhythm,nearest_centroid,test,modernize,0.56072,0.56072,0.0,0.234924,0.216211,0.018713,197
minus_length_rhythm,length_rhythm,nearest_centroid,test,simplify,0.436409,0.463636,-0.027227,0.359235,0.313295,0.04594,197
minus_punctuation,punctuation,nearest_centroid,validation,original,0.580584,0.620187,-0.039603,0.0,0.0,0.0,195
minus_punctuation,punctuation,nearest_centroid,validation,paraphrase,0.381321,0.427045,-0.045724,0.199263,0.193142,0.006121,195
minus_punctuation,punctuation,nearest_centroid,validation,modernize,0.484308,0.491152,-0.006844,0.096276,0.129035,-0.032759,195
minus_punctuation,punctuation,nearest_centroid,validation,simplify,0.384622,0.372384,0.012238,0.195962,0.247803,-0.051841,195
minus_punctuation,punctuation,nearest_centroid,test,original,0.703581,0.776931,-0.07335,0.0,0.0,0.0,195
minus_punctuation,punctuation,nearest_centroid,test,paraphrase,0.404698,0.395797,0.008901,0.298883,0.381134,-0.082251,195
minus_punctuation,punctuation,nearest_centroid,test,modernize,0.54109,0.56072,-0.01963,0.162491,0.216211,-0.05372,195
minus_punctuation,punctuation,nearest_centroid,test,simplify,0.435301,0.463636,-0.028335,0.26828,0.313295,-0.045015,195
minus_lexical_richness,lexical_richness,nearest_centroid,validation,original,0.603223,0.620187,-0.016964,0.0,0.0,0.0,199
minus_lexical_richness,lexical_richness,nearest_centroid,validation,paraphrase,0.40812,0.427045,-0.018925,0.195103,0.193142,0.001961,199
minus_lexical_richness,lexical_richness,nearest_centroid,validation,modernize,0.484392,0.491152,-0.00676,0.118831,0.129035,-0.010204,199
minus_lexical_richness,lexical_richness,nearest_centroid,validation,simplify,0.425803,0.372384,0.053419,0.17742,0.247803,-0.070383,199
minus_lexical_richness,lexical_richness,nearest_centroid,test,original,0.79598,0.776931,0.019049,0.0,0.0,0.0,199
minus_lexical_richness,lexical_richness,nearest_centroid,test,paraphrase,0.451894,0.395797,0.056097,0.344086,0.381134,-0.037048,199
minus_lexical_richness,lexical_richness,nearest_centroid,test,modernize,0.621068,0.56072,0.060348,0.174912,0.216211,-0.041299,199
minus_lexical_richness,lexical_richness,nearest_centroid,test,simplify,0.544596,0.463636,0.08096,0.251384,0.313295,-0.061911,199
minus_register_marker,register_marker,nearest_centroid,validation,original,0.643172,0.620187,0.022985,0.0,0.0,0.0,201
minus_register_marker,register_marker,nearest_centroid,validation,paraphrase,0.431658,0.427045,0.004613,0.211514,0.193142,0.018372,201
minus_register_marker,register_marker,nearest_centroid,validation,modernize,0.48375,0.491152,-0.007402,0.159422,0.129035,0.030387,201
minus_register_marker,register_marker,nearest_centroid,validation,simplify,0.372384,0.372384,0.0,0.270788,0.247803,0.022985,201
minus_register_marker,register_marker,nearest_centroid,test,original,0.738632,0.776931,-0.038299,0.0,0.0,0.0,201
