ablation_mode,removed_family,model,split,condition,baseline_condition,included_feature_count,accuracy,macro_f1,weighted_f1,accuracy_loss_vs_original,macro_f1_loss_vs_original,weighted_f1_loss_vs_original,rows
full_features,none,nearest_centroid,validation,original,original,205,0.648148,0.620187,0.620187,0.0,0.0,0.0,54
full_features,none,nearest_centroid,validation,paraphrase,original,205,0.481481,0.427045,0.427045,0.166667,0.193142,0.193142,54
full_features,none,nearest_centroid,validation,modernize,original,205,0.518519,0.491152,0.491152,0.129629,0.129035,0.129035,54
full_features,none,nearest_centroid,validation,simplify,original,205,0.444444,0.372384,0.372384,0.203704,0.247803,0.247803,54
full_features,none,nearest_centroid,test,original,original,205,0.777778,0.776931,0.776931,0.0,0.0,0.0,54
full_features,none,nearest_centroid,test,paraphrase,original,205,0.444444,0.395797,0.395797,0.333334,0.381134,0.381134,54
full_features,none,nearest_centroid,test,modernize,original,205,0.574074,0.56072,0.56072,0.203704,0.216211,0.216211,54
full_features,none,nearest_centroid,test,simplify,original,205,0.481481,0.463636,0.463636,0.296297,0.313295,0.313295,54
minus_length_rhythm,length_rhythm,nearest_centroid,validation,original,original,197,0.62963,0.603729,0.603729,0.0,0.0,0.0,54
minus_length_rhythm,length_rhythm,nearest_centroid,validation,paraphrase,original,197,0.462963,0.418889,0.418889,0.166667,0.18484,0.18484,54
minus_length_rhythm,length_rhythm,nearest_centroid,validation,modernize,original,197,0.555556,0.536397,0.536397,0.074074,0.067332,0.067332,54
minus_length_rhythm,length_rhythm,nearest_centroid,validation,simplify,original,197,0.462963,0.394362,0.394362,0.166667,0.209367,0.209367,54
minus_length_rhythm,length_rhythm,nearest_centroid,test,original,original,197,0.796296,0.795644,0.795644,0.0,0.0,0.0,54
minus_length_rhythm,length_rhythm,nearest_centroid,test,paraphrase,original,197,0.425926,0.381975,0.381975,0.37037,0.413669,0.413669,54
minus_length_rhythm,length_rhythm,nearest_centroid,test,modernize,original,197,0.574074,0.56072,0.56072,0.222222,0.234924,0.234924,54
minus_length_rhythm,length_rhythm,nearest_centroid,test,simplify,original,197,0.462963,0.436409,0.436409,0.333333,0.359235,0.359235,54
minus_punctuation,punctuation,nearest_centroid,validation,original,original,195,0.592593,0.580584,0.580584,0.0,0.0,0.0,54
minus_punctuation,punctuation,nearest_centroid,validation,paraphrase,original,195,0.444444,0.381321,0.381321,0.148149,0.199263,0.199263,54
minus_punctuation,punctuation,nearest_centroid,validation,modernize,original,195,0.5,0.484308,0.484308,0.092593,0.096276,0.096276,54
minus_punctuation,punctuation,nearest_centroid,validation,simplify,original,195,0.462963,0.384622,0.384622,0.12963,0.195962,0.195962,54
minus_punctuation,punctuation,nearest_centroid,test,original,original,195,0.703704,0.703581,0.703581,0.0,0.0,0.0,54
minus_punctuation,punctuation,nearest_centroid,test,paraphrase,original,195,0.444444,0.404698,0.404698,0.25926,0.298883,0.298883,54
minus_punctuation,punctuation,nearest_centroid,test,modernize,original,195,0.555556,0.54109,0.54109,0.148148,0.162491,0.162491,54
minus_punctuation,punctuation,nearest_centroid,test,simplify,original,195,0.462963,0.435301,0.435301,0.240741,0.26828,0.26828,54
minus_lexical_richness,lexical_richness,nearest_centroid,validation,original,original,199,0.62963,0.603223,0.603223,0.0,0.0,0.0,54
minus_lexical_richness,lexical_richness,nearest_centroid,validation,paraphrase,original,199,0.444444,0.40812,0.40812,0.185186,0.195103,0.195103,54
minus_lexical_richness,lexical_richness,nearest_centroid,validation,modernize,original,199,0.5,0.484392,0.484392,0.12963,0.118831,0.118831,54
minus_lexical_richness,lexical_richness,nearest_centroid,validation,simplify,original,199,0.481481,0.425803,0.425803,0.148149,0.17742,0.17742,54
minus_lexical_richness,lexical_richness,nearest_centroid,test,original,original,199,0.796296,0.79598,0.79598,0.0,0.0,0.0,54
minus_lexical_richness,lexical_richness,nearest_centroid,test,paraphrase,original,199,0.5,0.451894,0.451894,0.296296,0.344086,0.344086,54
minus_lexical_richness,lexical_richness,nearest_centroid,test,modernize,original,199,0.62963,0.621068,0.621068,0.166666,0.174912,0.174912,54
minus_lexical_richness,lexical_richness,nearest_centroid,test,simplify,original,199,0.555556,0.544596,0.544596,0.24074,0.251384,0.251384,54
minus_register_marker,register_marker,nearest_centroid,validation,original,original,201,0.666667,0.643172,0.643172,0.0,0.0,0.0,54
minus_register_marker,register_marker,nearest_centroid,validation,paraphrase,original,201,0.481481,0.431658,0.431658,0.185186,0.211514,0.211514,54
minus_register_marker,register_marker,nearest_centroid,validation,modernize,original,201,0.518519,0.48375,0.48375,0.148148,0.159422,0.159422,54
minus_register_marker,register_marker,nearest_centroid,validation,simplify,original,201,0.444444,0.372384,0.372384,0.222223,0.270788,0.270788,54
minus_register_marker,register_marker,nearest_centroid,test,original,original,201,0.740741,0.738632,0.738632,0.0,0.0,0.0,54
minus_register_marker,register_marker,nearest_centroid,test,paraphrase,original,201,0.444444,0.398272,0.398272,0.296297,0.34036,0.34036,54
minus_register_marker,register_marker,nearest_centroid,test,modernize,original,201,0.574074,0.560215,0.560215,0.166667,0.178417,0.178417,54
minus_register_marker,register_marker,nearest_centroid,test,simplify,original,201,0.481481,0.447783,0.447783,0.25926,0.290849,0.290849,54
minus_function_word,function_word,nearest_centroid,validation,original,original,148,0.648148,0.617585,0.617585,0.0,0.0,0.0,54
minus_function_word,function_word,nearest_centroid,validation,paraphrase,original,148,0.481481,0.432386,0.432386,0.166667,0.185199,0.185199,54
minus_function_word,function_word,nearest_centroid,validation,modernize,original,148,0.5,0.476032,0.476032,0.148148,0.141553,0.141553,54
minus_function_word,function_word,nearest_centroid,validation,simplify,original,148,0.462963,0.401609,0.401609,0.185185,0.215976,0.215976,54
minus_function_word,function_word,nearest_centroid,test,original,original,148,0.796296,0.795127,0.795127,0.0,0.0,0.0,54
minus_function_word,function_word,nearest_centroid,test,paraphrase,original,148,0.425926,0.378254,0.378254,0.37037,0.416873,0.416873,54
minus_function_word,function_word,nearest_centroid,test,modernize,original,148,0.648148,0.639354,0.639354,0.148148,0.155773,0.155773,54
minus_function_word,function_word,nearest_centroid,test,simplify,original,148,0.555556,0.543546,0.543546,0.24074,0.251581,0.251581,54
minus_char3,char3,nearest_centroid,validation,original,original,85,0.648148,0.624074,0.624074,0.0,0.0,0.0,54
minus_char3,char3,nearest_centroid,validation,paraphrase,original,85,0.407407,0.353439,0.353439,0.240741,0.270635,0.270635,54
minus_char3,char3,nearest_centroid,validation,modernize,original,85,0.555556,0.528263,0.528263,0.092592,0.095811,0.095811,54
minus_char3,char3,nearest_centroid,validation,simplify,original,85,0.425926,0.364553,0.364553,0.222222,0.259521,0.259521,54
minus_char3,char3,nearest_centroid,test,original,original,85,0.722222,0.725668,0.725668,0.0,0.0,0.0,54
minus_char3,char3,nearest_centroid,test,paraphrase,original,85,0.407407,0.358137,0.358137,0.314815,0.367531,0.367531,54
minus_char3,char3,nearest_centroid,test,modernize,original,85,0.537037,0.525521,0.525521,0.185185,0.200147,0.200147,54
minus_char3,char3,nearest_centroid,test,simplify,original,85,0.481481,0.481296,0.481296,0.240741,0.244372,0.244372,54
