grouping_strategy,split,condition,length_band,rows,authors,min_word_count,max_word_count
actual_text_length,validation,original,450_500,0,0,0,0
actual_text_length,validation,original,501_575,38,6,550,571
actual_text_length,validation,original,576_650,16,6,576,600
actual_text_length,validation,original,outside_bands,0,0,0,0
actual_text_length,validation,paraphrase,450_500,15,6,450,500
actual_text_length,validation,paraphrase,501_575,36,6,501,575
actual_text_length,validation,paraphrase,576_650,0,0,0,0
actual_text_length,validation,paraphrase,outside_bands,3,3,424,431
actual_text_length,validation,modernize,450_500,9,5,454,496
actual_text_length,validation,modernize,501_575,42,6,504,568
actual_text_length,validation,modernize,576_650,3,2,586,600
actual_text_length,validation,modernize,outside_bands,0,0,0,0
actual_text_length,validation,simplify,450_500,14,6,450,499
actual_text_length,validation,simplify,501_575,35,6,504,566
actual_text_length,validation,simplify,576_650,4,4,576,588
actual_text_length,validation,simplify,outside_bands,1,1,445,445
actual_text_length,test,original,450_500,0,0,0,0
actual_text_length,test,original,501_575,42,6,550,575
actual_text_length,test,original,576_650,12,6,576,600
actual_text_length,test,original,outside_bands,0,0,0,0
actual_text_length,test,paraphrase,450_500,10,4,451,498
actual_text_length,test,paraphrase,501_575,40,6,501,574
actual_text_length,test,paraphrase,576_650,2,1,587,613
actual_text_length,test,paraphrase,outside_bands,2,2,415,416
actual_text_length,test,modernize,450_500,2,2,452,499
actual_text_length,test,modernize,501_575,48,6,501,575
actual_text_length,test,modernize,576_650,4,3,587,593
actual_text_length,test,modernize,outside_bands,0,0,0,0
actual_text_length,test,simplify,450_500,6,3,488,500
actual_text_length,test,simplify,501_575,41,6,505,572
actual_text_length,test,simplify,576_650,5,3,577,594
actual_text_length,test,simplify,outside_bands,2,2,446,447
source_original_length,validation,original,450_500,0,0,0,0
source_original_length,validation,original,501_575,38,6,550,571
source_original_length,validation,original,576_650,16,6,576,600
source_original_length,validation,original,outside_bands,0,0,0,0
source_original_length,validation,paraphrase,450_500,0,0,0,0
source_original_length,validation,paraphrase,501_575,38,6,424,575
source_original_length,validation,paraphrase,576_650,16,6,471,563
source_original_length,validation,paraphrase,outside_bands,0,0,0,0
source_original_length,validation,modernize,450_500,0,0,0,0
source_original_length,validation,modernize,501_575,38,6,454,592
source_original_length,validation,modernize,576_650,16,6,504,600
source_original_length,validation,modernize,outside_bands,0,0,0,0
source_original_length,validation,simplify,450_500,0,0,0,0
source_original_length,validation,simplify,501_575,38,6,445,588
source_original_length,validation,simplify,576_650,16,6,469,576
source_original_length,validation,simplify,outside_bands,0,0,0,0
source_original_length,test,original,450_500,0,0,0,0
source_original_length,test,original,501_575,42,6,550,575
source_original_length,test,original,576_650,12,6,576,600
source_original_length,test,original,outside_bands,0,0,0,0
source_original_length,test,paraphrase,450_500,0,0,0,0
source_original_length,test,paraphrase,501_575,42,6,416,587
source_original_length,test,paraphrase,576_650,12,6,415,613
source_original_length,test,paraphrase,outside_bands,0,0,0,0
source_original_length,test,modernize,450_500,0,0,0,0
source_original_length,test,modernize,501_575,42,6,452,588
source_original_length,test,modernize,576_650,12,6,526,593
source_original_length,test,modernize,outside_bands,0,0,0,0
source_original_length,test,simplify,450_500,0,0,0,0
source_original_length,test,simplify,501_575,42,6,446,584
source_original_length,test,simplify,576_650,12,6,500,594
source_original_length,test,simplify,outside_bands,0,0,0,0
