grouping_strategy,model,split,length_band,condition,baseline_condition,rows,authors,accuracy,macro_f1,weighted_f1,accuracy_loss_vs_original,macro_f1_loss_vs_original,weighted_f1_loss_vs_original,baseline_rows,baseline_available
actual_text_length,nearest_centroid,validation,450_500,original,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
actual_text_length,nearest_centroid,validation,450_500,paraphrase,original,15,6,0.4,0.252564,0.257436,NA,NA,NA,0,0
actual_text_length,nearest_centroid,validation,450_500,modernize,original,9,5,0.444444,0.4,0.385185,NA,NA,NA,0,0
actual_text_length,nearest_centroid,validation,450_500,simplify,original,14,6,0.428571,0.316667,0.342857,NA,NA,NA,0,0
actual_text_length,nearest_centroid,validation,501_575,original,original,38,6,0.684211,0.646732,0.66192,0.0,0.0,0.0,38,1
actual_text_length,nearest_centroid,validation,501_575,paraphrase,original,36,6,0.472222,0.411322,0.428361,0.211989,0.23541,0.233559,38,1
actual_text_length,nearest_centroid,validation,501_575,modernize,original,42,6,0.5,0.48485,0.492134,0.184211,0.161882,0.169786,38,1
actual_text_length,nearest_centroid,validation,501_575,simplify,original,35,6,0.457143,0.396724,0.391636,0.227068,0.250008,0.270284,38,1
actual_text_length,nearest_centroid,validation,576_650,original,original,16,6,0.5625,0.517857,0.520089,0.0,0.0,0.0,16,1
actual_text_length,nearest_centroid,validation,576_650,paraphrase,original,0,0,0.0,0.0,0.0,0.5625,0.517857,0.520089,16,1
actual_text_length,nearest_centroid,validation,576_650,modernize,original,3,2,1.0,0.333333,1.0,-0.4375,0.184524,-0.479911,16,1
actual_text_length,nearest_centroid,validation,576_650,simplify,original,4,4,0.5,0.277778,0.416667,0.0625,0.240079,0.103422,16,1
actual_text_length,nearest_centroid,validation,outside_bands,original,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
actual_text_length,nearest_centroid,validation,outside_bands,paraphrase,original,3,3,1.0,0.5,1.0,NA,NA,NA,0,0
actual_text_length,nearest_centroid,validation,outside_bands,modernize,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
actual_text_length,nearest_centroid,validation,outside_bands,simplify,original,1,1,0.0,0.0,0.0,NA,NA,NA,0,0
actual_text_length,nearest_centroid,test,450_500,original,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
actual_text_length,nearest_centroid,test,450_500,paraphrase,original,10,4,0.4,0.333333,0.4,NA,NA,NA,0,0
actual_text_length,nearest_centroid,test,450_500,modernize,original,2,2,0.5,0.166667,0.5,NA,NA,NA,0,0
actual_text_length,nearest_centroid,test,450_500,simplify,original,6,3,0.166667,0.083333,0.166667,NA,NA,NA,0,0
actual_text_length,nearest_centroid,test,501_575,original,original,42,6,0.785714,0.781197,0.781197,0.0,0.0,0.0,42,1
actual_text_length,nearest_centroid,test,501_575,paraphrase,original,40,6,0.45,0.390756,0.380126,0.335714,0.390441,0.401071,42,1
actual_text_length,nearest_centroid,test,501_575,modernize,original,48,6,0.5625,0.550135,0.546592,0.223214,0.231062,0.234605,42,1
actual_text_length,nearest_centroid,test,501_575,simplify,original,41,6,0.512195,0.481092,0.484096,0.273519,0.300105,0.297101,42,1
actual_text_length,nearest_centroid,test,576_650,original,original,12,6,0.75,0.711111,0.711111,0.0,0.0,0.0,12,1
actual_text_length,nearest_centroid,test,576_650,paraphrase,original,2,1,0.5,0.111111,0.666667,0.25,0.6,0.044444,12,1
actual_text_length,nearest_centroid,test,576_650,modernize,original,4,3,0.75,0.444444,0.833333,0.0,0.266667,-0.122222,12,1
actual_text_length,nearest_centroid,test,576_650,simplify,original,5,3,0.6,0.388889,0.733333,0.15,0.322222,-0.022222,12,1
actual_text_length,nearest_centroid,test,outside_bands,original,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
actual_text_length,nearest_centroid,test,outside_bands,paraphrase,original,2,2,0.5,0.166667,0.5,NA,NA,NA,0,0
actual_text_length,nearest_centroid,test,outside_bands,modernize,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
actual_text_length,nearest_centroid,test,outside_bands,simplify,original,2,2,0.5,0.166667,0.5,NA,NA,NA,0,0
actual_text_length,diagonal_gaussian_nb,validation,450_500,original,original,0,0,0.0,0.0,0.0,NA,NA,NA,0,0
