model,split,condition,paired_passages,bootstrap_replicates,original_macro_f1,rewrite_macro_f1,macro_f1_loss,loss_ci_2_5,loss_ci_50,loss_ci_97_5,bootstrap_nonpositive_rate
nearest_centroid,validation,paraphrase,54,5000,0.620187,0.427045,0.193142,0.051696,0.192861,0.335148,0.004
nearest_centroid,validation,modernize,54,5000,0.620187,0.491152,0.129034,0.005507,0.130776,0.261002,0.0202
nearest_centroid,validation,simplify,54,5000,0.620187,0.372384,0.247803,0.114118,0.243473,0.372272,0.0002
nearest_centroid,test,paraphrase,54,5000,0.776931,0.395797,0.381134,0.261805,0.38014,0.502832,0.0
nearest_centroid,test,modernize,54,5000,0.776931,0.56072,0.216211,0.099657,0.217619,0.346396,0.0
nearest_centroid,test,simplify,54,5000,0.776931,0.463636,0.313294,0.193906,0.316349,0.448514,0.0
diagonal_gaussian_nb,validation,paraphrase,54,5000,0.683694,0.411606,0.272087,0.131593,0.269213,0.406825,0.0
diagonal_gaussian_nb,validation,modernize,54,5000,0.683694,0.525624,0.15807,0.07195,0.154443,0.257467,0.0
diagonal_gaussian_nb,validation,simplify,54,5000,0.683694,0.512506,0.171187,0.045606,0.171412,0.303081,0.0042
diagonal_gaussian_nb,test,paraphrase,54,5000,0.760859,0.423931,0.336928,0.200441,0.335541,0.471742,0.0
diagonal_gaussian_nb,test,modernize,54,5000,0.760859,0.590047,0.170812,0.050751,0.173438,0.304165,0.0018
diagonal_gaussian_nb,test,simplify,54,5000,0.760859,0.449798,0.311061,0.172679,0.313827,0.45574,0.0
linear_discriminant_shrinkage,validation,paraphrase,54,5000,0.650204,0.444461,0.205742,0.052711,0.202194,0.362116,0.004
linear_discriminant_shrinkage,validation,modernize,54,5000,0.650204,0.526939,0.123264,-0.008688,0.122758,0.257673,0.035
linear_discriminant_shrinkage,validation,simplify,54,5000,0.650204,0.363722,0.286481,0.14119,0.282329,0.420999,0.0
linear_discriminant_shrinkage,test,paraphrase,54,5000,0.776931,0.390232,0.386699,0.265921,0.387681,0.504839,0.0
linear_discriminant_shrinkage,test,modernize,54,5000,0.776931,0.598237,0.178694,0.071128,0.181139,0.301491,0.0002
linear_discriminant_shrinkage,test,simplify,54,5000,0.776931,0.419634,0.357297,0.229058,0.356769,0.496117,0.0
