audit_id,text_id,condition,author_id,work_id,overall_usable_yes_no,any_semantic_issue_flag,semantic_issue_level,added_facts_0_1,omitted_facts_0_1,tone_drift_0_2,meaning_preservation_1_5
E4_001,SHELLEY_FRANKENSTEIN_025__paraphrase,paraphrase,shelley,frankenstein,no,1,high,1,1,1,3
E4_006,SHELLEY_FRANKENSTEIN_029__simplify,simplify,shelley,frankenstein,yes,1,medium,1,0,1,4
E4_009,SHELLEY_FRANKENSTEIN_030__paraphrase,paraphrase,shelley,frankenstein,yes,1,medium,1,1,1,4
E4_015,TWAIN_TOM_SAWYER_011__paraphrase,paraphrase,twain,tom_sawyer,yes,1,medium,0,0,2,4
E4_028,DICKENS_OLIVER_TWIST_030__simplify,simplify,dickens,oliver_twist,yes,1,medium,1,0,1,4
E4_040,SHELLEY_FRANKENSTEIN_013__modernize,modernize,shelley,frankenstein,yes,1,medium,1,0,1,4
E4_050,WILDE_LORD_ARTHUR_STORIES_026__simplify,simplify,wilde,lord_arthur_stories,yes,1,medium,0,1,1,4
E4_061,AUSTEN_PRIDE_AND_PREJUDICE_001__paraphrase,paraphrase,austen,pride_and_prejudice,yes,1,medium,1,0,1,4
E4_073,AUSTEN_PRIDE_AND_PREJUDICE_015__simplify,simplify,austen,pride_and_prejudice,yes,1,medium,0,1,1,4
E4_079,TWAIN_HUCKLEBERRY_FINN_029__simplify,simplify,twain,huckleberry_finn,yes,1,medium,0,0,2,4
E4_083,DICKENS_OLIVER_TWIST_016__paraphrase,paraphrase,dickens,oliver_twist,yes,1,medium,0,0,2,4
E4_084,TWAIN_HUCKLEBERRY_FINN_024__modernize,modernize,twain,huckleberry_finn,yes,1,medium,0,0,2,4
E4_087,TWAIN_HUCKLEBERRY_FINN_019__simplify,simplify,twain,huckleberry_finn,yes,1,medium,0,0,2,5
E4_089,TWAIN_HUCKLEBERRY_FINN_021__paraphrase,paraphrase,twain,huckleberry_finn,yes,1,medium,0,0,2,4
E4_093,POE_WORKS_VOLUME_1_030__simplify,simplify,poe,works_volume_1,yes,1,medium,0,1,1,4
E4_094,TWAIN_HUCKLEBERRY_FINN_029__paraphrase,paraphrase,twain,huckleberry_finn,yes,1,medium,0,0,2,4
E4_106,TWAIN_TOM_SAWYER_005__modernize,modernize,twain,tom_sawyer,yes,1,medium,0,0,2,4
