sensitivity_filter,model,split,condition,rows,excluded_rows,accuracy,macro_f1,weighted_f1,accuracy_loss_vs_original,macro_f1_loss_vs_original,weighted_f1_loss_vs_original
all_rows,nearest_centroid,validation,original,54,0,0.648148,0.620187,0.620187,0.0,0.0,0.0
all_rows,nearest_centroid,validation,paraphrase,54,0,0.481481,0.427045,0.427045,0.166667,0.193142,0.193142
all_rows,nearest_centroid,validation,modernize,54,0,0.518519,0.491152,0.491152,0.129629,0.129035,0.129035
all_rows,nearest_centroid,validation,simplify,54,0,0.444444,0.372384,0.372384,0.203704,0.247803,0.247803
all_rows,nearest_centroid,test,original,54,0,0.777778,0.776931,0.776931,0.0,0.0,0.0
all_rows,nearest_centroid,test,paraphrase,54,0,0.444444,0.395797,0.395797,0.333334,0.381134,0.381134
all_rows,nearest_centroid,test,modernize,54,0,0.574074,0.56072,0.56072,0.203704,0.216211,0.216211
all_rows,nearest_centroid,test,simplify,54,0,0.481481,0.463636,0.463636,0.296297,0.313295,0.313295
all_rows,diagonal_gaussian_nb,validation,original,54,0,0.703704,0.683694,0.683694,0.0,0.0,0.0
all_rows,diagonal_gaussian_nb,validation,paraphrase,54,0,0.444444,0.411606,0.411606,0.25926,0.272088,0.272088
all_rows,diagonal_gaussian_nb,validation,modernize,54,0,0.537037,0.525624,0.525624,0.166667,0.15807,0.15807
all_rows,diagonal_gaussian_nb,validation,simplify,54,0,0.555556,0.512506,0.512506,0.148148,0.171188,0.171188
all_rows,diagonal_gaussian_nb,test,original,54,0,0.759259,0.760859,0.760859,0.0,0.0,0.0
all_rows,diagonal_gaussian_nb,test,paraphrase,54,0,0.462963,0.423931,0.423931,0.296296,0.336928,0.336928
all_rows,diagonal_gaussian_nb,test,modernize,54,0,0.592593,0.590047,0.590047,0.166666,0.170812,0.170812
all_rows,diagonal_gaussian_nb,test,simplify,54,0,0.462963,0.449798,0.449798,0.296296,0.311061,0.311061
all_rows,linear_discriminant_shrinkage,validation,original,54,0,0.666667,0.650204,0.650204,0.0,0.0,0.0
all_rows,linear_discriminant_shrinkage,validation,paraphrase,54,0,0.5,0.444461,0.444461,0.166667,0.205743,0.205743
all_rows,linear_discriminant_shrinkage,validation,modernize,54,0,0.537037,0.526939,0.526939,0.12963,0.123265,0.123265
all_rows,linear_discriminant_shrinkage,validation,simplify,54,0,0.425926,0.363722,0.363722,0.240741,0.286482,0.286482
all_rows,linear_discriminant_shrinkage,test,original,54,0,0.777778,0.776931,0.776931,0.0,0.0,0.0
all_rows,linear_discriminant_shrinkage,test,paraphrase,54,0,0.444444,0.390232,0.390232,0.333334,0.386699,0.386699
all_rows,linear_discriminant_shrinkage,test,modernize,54,0,0.611111,0.598237,0.598237,0.166667,0.178694,0.178694
all_rows,linear_discriminant_shrinkage,test,simplify,54,0,0.444444,0.419634,0.419634,0.333334,0.357297,0.357297
exclude_unusable,nearest_centroid,validation,original,54,0,0.648148,0.620187,0.620187,0.0,0.0,0.0
exclude_unusable,nearest_centroid,validation,paraphrase,54,0,0.481481,0.427045,0.427045,0.166667,0.193142,0.193142
exclude_unusable,nearest_centroid,validation,modernize,54,0,0.518519,0.491152,0.491152,0.129629,0.129035,0.129035
exclude_unusable,nearest_centroid,validation,simplify,54,0,0.444444,0.372384,0.372384,0.203704,0.247803,0.247803
exclude_unusable,nearest_centroid,test,original,54,0,0.777778,0.776931,0.776931,0.0,0.0,0.0
exclude_unusable,nearest_centroid,test,paraphrase,54,0,0.444444,0.395797,0.395797,0.333334,0.381134,0.381134
exclude_unusable,nearest_centroid,test,modernize,54,0,0.574074,0.56072,0.56072,0.203704,0.216211,0.216211
exclude_unusable,nearest_centroid,test,simplify,54,0,0.481481,0.463636,0.463636,0.296297,0.313295,0.313295
exclude_unusable,diagonal_gaussian_nb,validation,original,54,0,0.703704,0.683694,0.683694,0.0,0.0,0.0
exclude_unusable,diagonal_gaussian_nb,validation,paraphrase,54,0,0.444444,0.411606,0.411606,0.25926,0.272088,0.272088
exclude_unusable,diagonal_gaussian_nb,validation,modernize,54,0,0.537037,0.525624,0.525624,0.166667,0.15807,0.15807
exclude_unusable,diagonal_gaussian_nb,validation,simplify,54,0,0.555556,0.512506,0.512506,0.148148,0.171188,0.171188
exclude_unusable,diagonal_gaussian_nb,test,original,54,0,0.759259,0.760859,0.760859,0.0,0.0,0.0
exclude_unusable,diagonal_gaussian_nb,test,paraphrase,54,0,0.462963,0.423931,0.423931,0.296296,0.336928,0.336928
exclude_unusable,diagonal_gaussian_nb,test,modernize,54,0,0.592593,0.590047,0.590047,0.166666,0.170812,0.170812
exclude_unusable,diagonal_gaussian_nb,test,simplify,54,0,0.462963,0.449798,0.449798,0.296296,0.311061,0.311061
exclude_unusable,linear_discriminant_shrinkage,validation,original,54,0,0.666667,0.650204,0.650204,0.0,0.0,0.0
exclude_unusable,linear_discriminant_shrinkage,validation,paraphrase,54,0,0.5,0.444461,0.444461,0.166667,0.205743,0.205743
exclude_unusable,linear_discriminant_shrinkage,validation,modernize,54,0,0.537037,0.526939,0.526939,0.12963,0.123265,0.123265
exclude_unusable,linear_discriminant_shrinkage,validation,simplify,54,0,0.425926,0.363722,0.363722,0.240741,0.286482,0.286482
exclude_unusable,linear_discriminant_shrinkage,test,original,54,0,0.777778,0.776931,0.776931,0.0,0.0,0.0
exclude_unusable,linear_discriminant_shrinkage,test,paraphrase,54,0,0.444444,0.390232,0.390232,0.333334,0.386699,0.386699
exclude_unusable,linear_discriminant_shrinkage,test,modernize,54,0,0.611111,0.598237,0.598237,0.166667,0.178694,0.178694
exclude_unusable,linear_discriminant_shrinkage,test,simplify,54,0,0.444444,0.419634,0.419634,0.333334,0.357297,0.357297
exclude_any_semantic_issue,nearest_centroid,validation,original,54,0,0.648148,0.620187,0.620187,0.0,0.0,0.0
exclude_any_semantic_issue,nearest_centroid,validation,paraphrase,53,1,0.490566,0.434298,0.436687,0.157582,0.185889,0.1835
