subset_id,model,split,condition,paired_passages,observed_macro_f1_loss,ci_low_95,ci_high_95,p_loss_le_zero_bootstrap,bootstrap_iterations,rng_seed
all_rows,nearest_centroid,validation,paraphrase,54,0.193142,0.049748,0.338847,0.0045,2000,20260601
all_rows,nearest_centroid,validation,modernize,54,0.129035,-0.000678,0.252748,0.0265,2000,20260601
all_rows,nearest_centroid,validation,simplify,54,0.247803,0.118744,0.365881,0.0,2000,20260601
all_rows,nearest_centroid,test,paraphrase,54,0.381134,0.264849,0.503275,0.0,2000,20260601
all_rows,nearest_centroid,test,modernize,54,0.216211,0.100524,0.343601,0.0,2000,20260601
all_rows,nearest_centroid,test,simplify,54,0.313295,0.194723,0.451578,0.0,2000,20260601
all_rows,diagonal_gaussian_nb,validation,paraphrase,54,0.272088,0.140393,0.404871,0.0,2000,20260601
all_rows,diagonal_gaussian_nb,validation,modernize,54,0.15807,0.070058,0.260521,0.0,2000,20260601
all_rows,diagonal_gaussian_nb,validation,simplify,54,0.171188,0.039738,0.302454,0.005,2000,20260601
all_rows,diagonal_gaussian_nb,test,paraphrase,54,0.336928,0.202856,0.467116,0.0,2000,20260601
all_rows,diagonal_gaussian_nb,test,modernize,54,0.170812,0.047914,0.29765,0.004,2000,20260601
all_rows,diagonal_gaussian_nb,test,simplify,54,0.311061,0.173188,0.451624,0.0,2000,20260601
all_rows,linear_discriminant_shrinkage,validation,paraphrase,54,0.205743,0.047559,0.35172,0.003,2000,20260601
all_rows,linear_discriminant_shrinkage,validation,modernize,54,0.123265,-0.002017,0.260733,0.0285,2000,20260601
all_rows,linear_discriminant_shrinkage,validation,simplify,54,0.286482,0.143555,0.41829,0.0,2000,20260601
all_rows,linear_discriminant_shrinkage,test,paraphrase,54,0.386699,0.268398,0.506858,0.0,2000,20260601
all_rows,linear_discriminant_shrinkage,test,modernize,54,0.178694,0.06727,0.302308,0.0005,2000,20260601
all_rows,linear_discriminant_shrinkage,test,simplify,54,0.357297,0.217501,0.498963,0.0,2000,20260601
qc_pass_only,nearest_centroid,validation,paraphrase,44,0.248087,0.09768,0.391961,0.0,2000,20260601
qc_pass_only,nearest_centroid,validation,modernize,50,0.147249,0.026771,0.28221,0.0095,2000,20260601
qc_pass_only,nearest_centroid,validation,simplify,47,0.249559,0.116109,0.38764,0.0,2000,20260601
qc_pass_only,nearest_centroid,test,paraphrase,47,0.363052,0.247733,0.488617,0.0,2000,20260601
