subset_id,feature_set,condition,pair_count,mean_burrows_delta,median_burrows_delta,min_burrows_delta,max_burrows_delta,std_burrows_delta,distance_ratio_vs_original
all_rows,function_word,original,15,0.450105353,0.43086034,0.239126412,0.620887969,0.092604416,1.0
all_rows,function_word,paraphrase,15,0.357475739,0.359524985,0.210344215,0.488849242,0.073098674,0.794204593
all_rows,function_word,modernize,15,0.393822044,0.387953493,0.229874802,0.524505386,0.079085442,0.874955255
all_rows,function_word,simplify,15,0.376919277,0.376552465,0.225416612,0.507799651,0.077145701,0.837402341
all_rows,all_features,original,15,0.466478556,0.454484472,0.283231143,0.683517025,0.09835197,1.0
all_rows,all_features,paraphrase,15,0.382225559,0.376581254,0.26624702,0.471401814,0.061632413,0.819385059
all_rows,all_features,modernize,15,0.417092414,0.397850833,0.249825907,0.565860821,0.082315496,0.894129878
all_rows,all_features,simplify,15,0.40530839,0.385600056,0.255582447,0.513741193,0.075120124,0.868868214
qc_pass_only,function_word,original,15,0.450105353,0.43086034,0.239126412,0.620887969,0.092604416,1.0
qc_pass_only,function_word,paraphrase,15,0.367589797,0.370768489,0.223118133,0.510297819,0.080264338,0.816675017
qc_pass_only,function_word,modernize,15,0.399574169,0.400392555,0.230659484,0.530957487,0.08148765,0.887734764
qc_pass_only,function_word,simplify,15,0.389239041,0.38325789,0.236921413,0.514599358,0.077002318,0.864773187
qc_pass_only,all_features,original,15,0.466478556,0.454484472,0.283231143,0.683517025,0.09835197,1.0
qc_pass_only,all_features,paraphrase,15,0.393311293,0.39713445,0.269589654,0.484283906,0.065921013,0.843149783
qc_pass_only,all_features,modernize,15,0.422110329,0.399362195,0.253188104,0.575271122,0.082909465,0.904886888
qc_pass_only,all_features,simplify,15,0.417074153,0.398815867,0.259518746,0.541716994,0.077095929,0.89409073
pass_plus_non_hard_length_warning,function_word,original,15,0.450105353,0.43086034,0.239126412,0.620887969,0.092604416,1.0
pass_plus_non_hard_length_warning,function_word,paraphrase,15,0.359763465,0.364946805,0.21644422,0.490114207,0.073075777,0.79928724
pass_plus_non_hard_length_warning,function_word,modernize,15,0.393261356,0.386647041,0.2299472,0.525794139,0.079083556,0.873709573
pass_plus_non_hard_length_warning,function_word,simplify,15,0.382605864,0.380128432,0.230186757,0.520182026,0.077515652,0.850036244
pass_plus_non_hard_length_warning,all_features,original,15,0.466478556,0.454484472,0.283231143,0.683517025,0.09835197,1.0
pass_plus_non_hard_length_warning,all_features,paraphrase,15,0.38492193,0.38146478,0.268414331,0.467258043,0.06108029,0.825165327
pass_plus_non_hard_length_warning,all_features,modernize,15,0.416232552,0.39788469,0.249874162,0.561160353,0.081703276,0.892286574
pass_plus_non_hard_length_warning,all_features,simplify,15,0.408416416,0.389802272,0.261069372,0.516650719,0.074963185,0.875530956
