subset_id,feature_family,feature_count,model,split,condition,baseline_condition,accuracy,macro_f1,weighted_f1,accuracy_loss_vs_original,macro_f1_loss_vs_original,weighted_f1_loss_vs_original,rows
all_rows,char3,120,nearest_centroid,validation,original,original,0.611111,0.59829,0.59829,0.0,0.0,0.0,54
all_rows,char3,120,nearest_centroid,validation,paraphrase,original,0.388889,0.348802,0.348802,0.222222,0.249488,0.249488,54
all_rows,char3,120,nearest_centroid,validation,modernize,original,0.555556,0.539813,0.539813,0.055555,0.058477,0.058477,54
all_rows,char3,120,nearest_centroid,validation,simplify,original,0.481481,0.444659,0.444659,0.12963,0.153631,0.153631,54
all_rows,char3,120,nearest_centroid,test,original,original,0.648148,0.649932,0.649932,0.0,0.0,0.0,54
all_rows,char3,120,nearest_centroid,test,paraphrase,original,0.37037,0.330753,0.330753,0.277778,0.319179,0.319179,54
all_rows,char3,120,nearest_centroid,test,modernize,original,0.481481,0.46412,0.46412,0.166667,0.185812,0.185812,54
all_rows,char3,120,nearest_centroid,test,simplify,original,0.5,0.483874,0.483874,0.148148,0.166058,0.166058,54
all_rows,char3,120,diagonal_gaussian_nb,validation,original,original,0.574074,0.559045,0.559045,0.0,0.0,0.0,54
all_rows,char3,120,diagonal_gaussian_nb,validation,paraphrase,original,0.481481,0.443893,0.443893,0.092593,0.115152,0.115152,54
all_rows,char3,120,diagonal_gaussian_nb,validation,modernize,original,0.518519,0.503738,0.503738,0.055555,0.055307,0.055307,54
all_rows,char3,120,diagonal_gaussian_nb,validation,simplify,original,0.444444,0.436559,0.436559,0.12963,0.122486,0.122486,54
all_rows,char3,120,diagonal_gaussian_nb,test,original,original,0.722222,0.725259,0.725259,0.0,0.0,0.0,54
all_rows,char3,120,diagonal_gaussian_nb,test,paraphrase,original,0.351852,0.334444,0.334444,0.37037,0.390815,0.390815,54
all_rows,char3,120,diagonal_gaussian_nb,test,modernize,original,0.462963,0.459058,0.459058,0.259259,0.266201,0.266201,54
all_rows,char3,120,diagonal_gaussian_nb,test,simplify,original,0.462963,0.426604,0.426604,0.259259,0.298655,0.298655,54
all_rows,char3,120,linear_discriminant_shrinkage,validation,original,original,0.592593,0.58155,0.58155,0.0,0.0,0.0,54
all_rows,char3,120,linear_discriminant_shrinkage,validation,paraphrase,original,0.407407,0.360114,0.360114,0.185186,0.221436,0.221436,54
all_rows,char3,120,linear_discriminant_shrinkage,validation,modernize,original,0.518519,0.508893,0.508893,0.074074,0.072657,0.072657,54
all_rows,char3,120,linear_discriminant_shrinkage,validation,simplify,original,0.444444,0.422737,0.422737,0.148149,0.158813,0.158813,54
all_rows,char3,120,linear_discriminant_shrinkage,test,original,original,0.648148,0.649932,0.649932,0.0,0.0,0.0,54
all_rows,char3,120,linear_discriminant_shrinkage,test,paraphrase,original,0.407407,0.363905,0.363905,0.240741,0.286027,0.286027,54
all_rows,char3,120,linear_discriminant_shrinkage,test,modernize,original,0.481481,0.47076,0.47076,0.166667,0.179172,0.179172,54
all_rows,char3,120,linear_discriminant_shrinkage,test,simplify,original,0.481481,0.46292,0.46292,0.166667,0.187012,0.187012,54
all_rows,function_word,57,nearest_centroid,validation,original,original,0.574074,0.571303,0.571303,0.0,0.0,0.0,54
all_rows,function_word,57,nearest_centroid,validation,paraphrase,original,0.351852,0.322288,0.322288,0.222222,0.249015,0.249015,54
all_rows,function_word,57,nearest_centroid,validation,modernize,original,0.462963,0.454143,0.454143,0.111111,0.11716,0.11716,54
all_rows,function_word,57,nearest_centroid,validation,simplify,original,0.444444,0.39196,0.39196,0.12963,0.179343,0.179343,54
all_rows,function_word,57,nearest_centroid,test,original,original,0.592593,0.590119,0.590119,0.0,0.0,0.0,54
all_rows,function_word,57,nearest_centroid,test,paraphrase,original,0.5,0.459137,0.459137,0.092593,0.130982,0.130982,54
all_rows,function_word,57,nearest_centroid,test,modernize,original,0.518519,0.499919,0.499919,0.074074,0.0902,0.0902,54
all_rows,function_word,57,nearest_centroid,test,simplify,original,0.537037,0.510918,0.510918,0.055556,0.079201,0.079201,54
all_rows,function_word,57,diagonal_gaussian_nb,validation,original,original,0.648148,0.639775,0.639775,0.0,0.0,0.0,54
all_rows,function_word,57,diagonal_gaussian_nb,validation,paraphrase,original,0.425926,0.409462,0.409462,0.222222,0.230313,0.230313,54
all_rows,function_word,57,diagonal_gaussian_nb,validation,modernize,original,0.518519,0.503551,0.503551,0.129629,0.136224,0.136224,54
all_rows,function_word,57,diagonal_gaussian_nb,validation,simplify,original,0.555556,0.525108,0.525108,0.092592,0.114667,0.114667,54
all_rows,function_word,57,diagonal_gaussian_nb,test,original,original,0.555556,0.552546,0.552546,0.0,0.0,0.0,54
all_rows,function_word,57,diagonal_gaussian_nb,test,paraphrase,original,0.5,0.462425,0.462425,0.055556,0.090121,0.090121,54
all_rows,function_word,57,diagonal_gaussian_nb,test,modernize,original,0.5,0.483229,0.483229,0.055556,0.069317,0.069317,54
all_rows,function_word,57,diagonal_gaussian_nb,test,simplify,original,0.425926,0.387838,0.387838,0.12963,0.164708,0.164708,54
all_rows,function_word,57,linear_discriminant_shrinkage,validation,original,original,0.592593,0.584211,0.584211,0.0,0.0,0.0,54
all_rows,function_word,57,linear_discriminant_shrinkage,validation,paraphrase,original,0.351852,0.335354,0.335354,0.240741,0.248857,0.248857,54
all_rows,function_word,57,linear_discriminant_shrinkage,validation,modernize,original,0.425926,0.414106,0.414106,0.166667,0.170105,0.170105,54
all_rows,function_word,57,linear_discriminant_shrinkage,validation,simplify,original,0.444444,0.395253,0.395253,0.148149,0.188958,0.188958,54
