subset_id,model,split,condition,accuracy,macro_f1,weighted_f1,rows,baseline_condition,macro_f1_difference_vs_original,macro_f1_survival_ratio
all_rows,nearest_centroid,validation,original,0.648148,0.620187,0.620187,54,original,0.0,1.0
all_rows,nearest_centroid,test,original,0.777778,0.776931,0.776931,54,original,0.0,1.0
all_rows,diagonal_gaussian_nb,validation,original,0.703704,0.683694,0.683694,54,original,0.0,1.0
all_rows,diagonal_gaussian_nb,test,original,0.759259,0.760859,0.760859,54,original,0.0,1.0
all_rows,linear_discriminant_shrinkage,validation,original,0.666667,0.650204,0.650204,54,original,0.0,1.0
all_rows,linear_discriminant_shrinkage,test,original,0.777778,0.776931,0.776931,54,original,0.0,1.0
all_rows,nearest_centroid,validation,paraphrase,0.592593,0.570449,0.570449,54,original,-0.049738,0.919802
all_rows,nearest_centroid,test,paraphrase,0.62963,0.623903,0.623903,54,original,-0.153028,0.803035
all_rows,diagonal_gaussian_nb,validation,paraphrase,0.574074,0.551126,0.551126,54,original,-0.132568,0.8061
all_rows,diagonal_gaussian_nb,test,paraphrase,0.62963,0.607256,0.607256,54,original,-0.153603,0.798119
all_rows,linear_discriminant_shrinkage,validation,paraphrase,0.611111,0.594483,0.594483,54,original,-0.055721,0.914302
all_rows,linear_discriminant_shrinkage,test,paraphrase,0.611111,0.605189,0.605189,54,original,-0.171742,0.778948
all_rows,nearest_centroid,validation,modernize,0.666667,0.647183,0.647183,54,original,0.026996,1.043529
all_rows,nearest_centroid,test,modernize,0.685185,0.682286,0.682286,54,original,-0.094645,0.878181
all_rows,diagonal_gaussian_nb,validation,modernize,0.62963,0.613832,0.613832,54,original,-0.069862,0.897817
all_rows,diagonal_gaussian_nb,test,modernize,0.685185,0.656836,0.656836,54,original,-0.104023,0.863282
all_rows,linear_discriminant_shrinkage,validation,modernize,0.666667,0.647183,0.647183,54,original,-0.003021,0.995354
all_rows,linear_discriminant_shrinkage,test,modernize,0.685185,0.682286,0.682286,54,original,-0.094645,0.878181
all_rows,nearest_centroid,validation,simplify,0.611111,0.596242,0.596242,54,original,-0.023945,0.961391
all_rows,nearest_centroid,test,simplify,0.685185,0.682286,0.682286,54,original,-0.094645,0.878181
all_rows,diagonal_gaussian_nb,validation,simplify,0.592593,0.551449,0.551449,54,original,-0.132245,0.806573
all_rows,diagonal_gaussian_nb,test,simplify,0.592593,0.569321,0.569321,54,original,-0.191538,0.748261
all_rows,linear_discriminant_shrinkage,validation,simplify,0.62963,0.614141,0.614141,54,original,-0.036063,0.944536
all_rows,linear_discriminant_shrinkage,test,simplify,0.648148,0.647004,0.647004,54,original,-0.129927,0.832769
qc_pass_only,nearest_centroid,validation,original,0.648148,0.620187,0.620187,54,original,0.0,1.0
qc_pass_only,nearest_centroid,test,original,0.777778,0.776931,0.776931,54,original,0.0,1.0
qc_pass_only,diagonal_gaussian_nb,validation,original,0.703704,0.683694,0.683694,54,original,0.0,1.0
qc_pass_only,diagonal_gaussian_nb,test,original,0.759259,0.760859,0.760859,54,original,0.0,1.0
qc_pass_only,linear_discriminant_shrinkage,validation,original,0.666667,0.650204,0.650204,54,original,0.0,1.0
qc_pass_only,linear_discriminant_shrinkage,test,original,0.777778,0.776931,0.776931,54,original,0.0,1.0
qc_pass_only,nearest_centroid,validation,paraphrase,0.590909,0.575188,0.588156,44,original,-0.044999,0.927443
qc_pass_only,nearest_centroid,test,paraphrase,0.702128,0.701078,0.704092,47,original,-0.075853,0.902368
qc_pass_only,diagonal_gaussian_nb,validation,paraphrase,0.636364,0.61873,0.628802,44,original,-0.064964,0.904981
qc_pass_only,diagonal_gaussian_nb,test,paraphrase,0.638298,0.647737,0.642752,47,original,-0.113122,0.851323
qc_pass_only,linear_discriminant_shrinkage,validation,paraphrase,0.590909,0.575188,0.588156,44,original,-0.075016,0.884627
qc_pass_only,linear_discriminant_shrinkage,test,paraphrase,0.638298,0.633923,0.638055,47,original,-0.143008,0.815932
qc_pass_only,nearest_centroid,validation,modernize,0.64,0.626315,0.625164,50,original,0.006128,1.009881
qc_pass_only,nearest_centroid,test,modernize,0.698113,0.690863,0.693835,53,original,-0.086068,0.889221
qc_pass_only,diagonal_gaussian_nb,validation,modernize,0.66,0.641302,0.641351,50,original,-0.042392,0.937996
qc_pass_only,diagonal_gaussian_nb,test,modernize,0.660377,0.63254,0.633693,53,original,-0.128319,0.83135
qc_pass_only,linear_discriminant_shrinkage,validation,modernize,0.66,0.646514,0.64549,50,original,-0.00369,0.994325
qc_pass_only,linear_discriminant_shrinkage,test,modernize,0.698113,0.690863,0.693835,53,original,-0.086068,0.889221
qc_pass_only,nearest_centroid,validation,simplify,0.595745,0.572274,0.582334,47,original,-0.047913,0.922744
qc_pass_only,nearest_centroid,test,simplify,0.686275,0.673721,0.682539,51,original,-0.10321,0.867157
qc_pass_only,diagonal_gaussian_nb,validation,simplify,0.680851,0.634848,0.645648,47,original,-0.048846,0.928556
qc_pass_only,diagonal_gaussian_nb,test,simplify,0.686275,0.666071,0.672479,51,original,-0.094788,0.87542
qc_pass_only,linear_discriminant_shrinkage,validation,simplify,0.638298,0.618481,0.627976,47,original,-0.031723,0.951211
qc_pass_only,linear_discriminant_shrinkage,test,simplify,0.666667,0.654423,0.662106,51,original,-0.122508,0.842318
pass_plus_non_hard_length_warning,nearest_centroid,validation,original,0.648148,0.620187,0.620187,54,original,0.0,1.0
pass_plus_non_hard_length_warning,nearest_centroid,test,original,0.777778,0.776931,0.776931,54,original,0.0,1.0
pass_plus_non_hard_length_warning,diagonal_gaussian_nb,validation,original,0.703704,0.683694,0.683694,54,original,0.0,1.0
pass_plus_non_hard_length_warning,diagonal_gaussian_nb,test,original,0.759259,0.760859,0.760859,54,original,0.0,1.0
pass_plus_non_hard_length_warning,linear_discriminant_shrinkage,validation,original,0.666667,0.650204,0.650204,54,original,0.0,1.0
pass_plus_non_hard_length_warning,linear_discriminant_shrinkage,test,original,0.777778,0.776931,0.776931,54,original,0.0,1.0
pass_plus_non_hard_length_warning,nearest_centroid,validation,paraphrase,0.612245,0.593401,0.598821,49,original,-0.026786,0.95681
pass_plus_non_hard_length_warning,nearest_centroid,test,paraphrase,0.68,0.680993,0.679505,50,original,-0.095938,0.876517
pass_plus_non_hard_length_warning,diagonal_gaussian_nb,validation,paraphrase,0.591837,0.566402,0.575818,49,original,-0.117292,0.828444
pass_plus_non_hard_length_warning,diagonal_gaussian_nb,test,paraphrase,0.64,0.643933,0.637114,50,original,-0.116926,0.846324
pass_plus_non_hard_length_warning,linear_discriminant_shrinkage,validation,paraphrase,0.612245,0.595308,0.602389,49,original,-0.054896,0.915571
pass_plus_non_hard_length_warning,linear_discriminant_shrinkage,test,paraphrase,0.68,0.680993,0.679505,50,original,-0.095938,0.876517
pass_plus_non_hard_length_warning,nearest_centroid,validation,modernize,0.666667,0.647707,0.647707,54,original,0.02752,1.044374
pass_plus_non_hard_length_warning,nearest_centroid,test,modernize,0.685185,0.682286,0.682286,54,original,-0.094645,0.878181
pass_plus_non_hard_length_warning,diagonal_gaussian_nb,validation,modernize,0.62963,0.613832,0.613832,54,original,-0.069862,0.897817
pass_plus_non_hard_length_warning,diagonal_gaussian_nb,test,modernize,0.685185,0.656836,0.656836,54,original,-0.104023,0.863282
pass_plus_non_hard_length_warning,linear_discriminant_shrinkage,validation,modernize,0.666667,0.647183,0.647183,54,original,-0.003021,0.995354
pass_plus_non_hard_length_warning,linear_discriminant_shrinkage,test,modernize,0.685185,0.682286,0.682286,54,original,-0.094645,0.878181
pass_plus_non_hard_length_warning,nearest_centroid,validation,simplify,0.603774,0.590686,0.589253,53,original,-0.029501,0.952432
pass_plus_non_hard_length_warning,nearest_centroid,test,simplify,0.679245,0.675963,0.677618,53,original,-0.100968,0.870043
pass_plus_non_hard_length_warning,diagonal_gaussian_nb,validation,simplify,0.603774,0.553317,0.554323,53,original,-0.130377,0.809305
pass_plus_non_hard_length_warning,diagonal_gaussian_nb,test,simplify,0.641509,0.617298,0.617625,53,original,-0.143561,0.811317
pass_plus_non_hard_length_warning,linear_discriminant_shrinkage,validation,simplify,0.622642,0.610208,0.609143,53,original,-0.039996,0.938487
pass_plus_non_hard_length_warning,linear_discriminant_shrinkage,test,simplify,0.660377,0.658712,0.660041,53,original,-0.118219,0.847838
