subset_id,condition,rows,authors,pass_rows,warning_rows,fail_rows,length_hard_warning_rows,length_soft_warning_rows
all_rows,original,360,6,360,0,0,0,0
all_rows,paraphrase,360,6,301,59,0,27,32
all_rows,modernize,360,6,341,19,0,2,17
all_rows,simplify,360,6,327,33,0,15,18
qc_pass_only,original,360,6,360,0,0,0,0
qc_pass_only,paraphrase,301,6,301,0,0,0,0
qc_pass_only,modernize,341,6,341,0,0,0,0
qc_pass_only,simplify,327,6,327,0,0,0,0
pass_plus_non_hard_length_warning,original,360,6,360,0,0,0,0
pass_plus_non_hard_length_warning,paraphrase,333,6,301,32,0,0,32
pass_plus_non_hard_length_warning,modernize,358,6,341,17,0,0,17
pass_plus_non_hard_length_warning,simplify,345,6,327,18,0,0,18
