subset_id,model,split,condition,baseline_condition,accuracy,macro_f1,weighted_f1,accuracy_loss_vs_original,macro_f1_loss_vs_original,weighted_f1_loss_vs_original,rows
all_rows,nearest_centroid,validation,original,original,0.648148,0.620187,0.620187,0.0,0.0,0.0,54
all_rows,nearest_centroid,validation,paraphrase,original,0.481481,0.427045,0.427045,0.166667,0.193142,0.193142,54
all_rows,nearest_centroid,validation,modernize,original,0.518519,0.491152,0.491152,0.129629,0.129035,0.129035,54
all_rows,nearest_centroid,validation,simplify,original,0.444444,0.372384,0.372384,0.203704,0.247803,0.247803,54
all_rows,nearest_centroid,test,original,original,0.777778,0.776931,0.776931,0.0,0.0,0.0,54
all_rows,nearest_centroid,test,paraphrase,original,0.444444,0.395797,0.395797,0.333334,0.381134,0.381134,54
all_rows,nearest_centroid,test,modernize,original,0.574074,0.56072,0.56072,0.203704,0.216211,0.216211,54
all_rows,nearest_centroid,test,simplify,original,0.481481,0.463636,0.463636,0.296297,0.313295,0.313295,54
all_rows,diagonal_gaussian_nb,validation,original,original,0.703704,0.683694,0.683694,0.0,0.0,0.0,54
all_rows,diagonal_gaussian_nb,validation,paraphrase,original,0.444444,0.411606,0.411606,0.25926,0.272088,0.272088,54
all_rows,diagonal_gaussian_nb,validation,modernize,original,0.537037,0.525624,0.525624,0.166667,0.15807,0.15807,54
all_rows,diagonal_gaussian_nb,validation,simplify,original,0.555556,0.512506,0.512506,0.148148,0.171188,0.171188,54
all_rows,diagonal_gaussian_nb,test,original,original,0.759259,0.760859,0.760859,0.0,0.0,0.0,54
all_rows,diagonal_gaussian_nb,test,paraphrase,original,0.462963,0.423931,0.423931,0.296296,0.336928,0.336928,54
all_rows,diagonal_gaussian_nb,test,modernize,original,0.592593,0.590047,0.590047,0.166666,0.170812,0.170812,54
all_rows,diagonal_gaussian_nb,test,simplify,original,0.462963,0.449798,0.449798,0.296296,0.311061,0.311061,54
all_rows,linear_discriminant_shrinkage,validation,original,original,0.666667,0.650204,0.650204,0.0,0.0,0.0,54
all_rows,linear_discriminant_shrinkage,validation,paraphrase,original,0.5,0.444461,0.444461,0.166667,0.205743,0.205743,54
all_rows,linear_discriminant_shrinkage,validation,modernize,original,0.537037,0.526939,0.526939,0.12963,0.123265,0.123265,54
all_rows,linear_discriminant_shrinkage,validation,simplify,original,0.425926,0.363722,0.363722,0.240741,0.286482,0.286482,54
all_rows,linear_discriminant_shrinkage,test,original,original,0.777778,0.776931,0.776931,0.0,0.0,0.0,54
all_rows,linear_discriminant_shrinkage,test,paraphrase,original,0.444444,0.390232,0.390232,0.333334,0.386699,0.386699,54
all_rows,linear_discriminant_shrinkage,test,modernize,original,0.611111,0.598237,0.598237,0.166667,0.178694,0.178694,54
all_rows,linear_discriminant_shrinkage,test,simplify,original,0.444444,0.419634,0.419634,0.333334,0.357297,0.357297,54
qc_pass_only,nearest_centroid,validation,original,original,0.648148,0.620187,0.620187,0.0,0.0,0.0,54
qc_pass_only,nearest_centroid,validation,paraphrase,original,0.454545,0.398343,0.40609,0.193603,0.221844,0.214097,44
qc_pass_only,nearest_centroid,validation,modernize,original,0.52,0.490128,0.494774,0.128148,0.130059,0.125413,50
qc_pass_only,nearest_centroid,validation,simplify,original,0.468085,0.380303,0.39381,0.180063,0.239884,0.226377,47
qc_pass_only,nearest_centroid,test,original,original,0.777778,0.776931,0.776931,0.0,0.0,0.0,54
qc_pass_only,nearest_centroid,test,paraphrase,original,0.446809,0.398258,0.387805,0.330969,0.378673,0.389126,47
qc_pass_only,nearest_centroid,test,modernize,original,0.566038,0.548754,0.550399,0.21174,0.228177,0.226532,53
qc_pass_only,nearest_centroid,test,simplify,original,0.490196,0.468781,0.472063,0.287582,0.30815,0.304868,51
qc_pass_only,diagonal_gaussian_nb,validation,original,original,0.703704,0.683694,0.683694,0.0,0.0,0.0,54
qc_pass_only,diagonal_gaussian_nb,validation,paraphrase,original,0.454545,0.419273,0.42872,0.249159,0.264421,0.254974,44
qc_pass_only,diagonal_gaussian_nb,validation,modernize,original,0.56,0.548023,0.550073,0.143704,0.135671,0.133621,50
qc_pass_only,diagonal_gaussian_nb,validation,simplify,original,0.595745,0.541154,0.554356,0.107959,0.14254,0.129338,47
qc_pass_only,diagonal_gaussian_nb,test,original,original,0.759259,0.760859,0.760859,0.0,0.0,0.0,54
qc_pass_only,diagonal_gaussian_nb,test,paraphrase,original,0.489362,0.452668,0.434299,0.269897,0.308191,0.32656,47
qc_pass_only,diagonal_gaussian_nb,test,modernize,original,0.584906,0.570206,0.57782,0.174353,0.190653,0.183039,53
qc_pass_only,diagonal_gaussian_nb,test,simplify,original,0.470588,0.44266,0.446799,0.288671,0.318199,0.31406,51
qc_pass_only,linear_discriminant_shrinkage,validation,original,original,0.666667,0.650204,0.650204,0.0,0.0,0.0,54
qc_pass_only,linear_discriminant_shrinkage,validation,paraphrase,original,0.477273,0.416518,0.425917,0.189394,0.233686,0.224287,44
qc_pass_only,linear_discriminant_shrinkage,validation,modernize,original,0.54,0.52963,0.532,0.126667,0.120574,0.118204,50
qc_pass_only,linear_discriminant_shrinkage,validation,simplify,original,0.446809,0.37328,0.385613,0.219858,0.276924,0.264591,47
qc_pass_only,linear_discriminant_shrinkage,test,original,original,0.777778,0.776931,0.776931,0.0,0.0,0.0,54
qc_pass_only,linear_discriminant_shrinkage,test,paraphrase,original,0.446809,0.39219,0.383462,0.330969,0.384741,0.393469,47
qc_pass_only,linear_discriminant_shrinkage,test,modernize,original,0.603774,0.582852,0.588044,0.174004,0.194079,0.188887,53
qc_pass_only,linear_discriminant_shrinkage,test,simplify,original,0.45098,0.418713,0.422158,0.326798,0.358218,0.354773,51
pass_plus_non_hard_length_warning,nearest_centroid,validation,original,original,0.648148,0.620187,0.620187,0.0,0.0,0.0,54
pass_plus_non_hard_length_warning,nearest_centroid,validation,paraphrase,original,0.44898,0.40293,0.398595,0.199168,0.217257,0.221592,49
pass_plus_non_hard_length_warning,nearest_centroid,validation,modernize,original,0.518519,0.491152,0.491152,0.129629,0.129035,0.129035,54
pass_plus_non_hard_length_warning,nearest_centroid,validation,simplify,original,0.45283,0.374521,0.378443,0.195318,0.245666,0.241744,53
pass_plus_non_hard_length_warning,nearest_centroid,test,original,original,0.777778,0.776931,0.776931,0.0,0.0,0.0,54
pass_plus_non_hard_length_warning,nearest_centroid,test,paraphrase,original,0.42,0.377314,0.362674,0.357778,0.399617,0.414257,50
pass_plus_non_hard_length_warning,nearest_centroid,test,modernize,original,0.574074,0.56072,0.56072,0.203704,0.216211,0.216211,54
pass_plus_non_hard_length_warning,nearest_centroid,test,simplify,original,0.490566,0.47518,0.477285,0.287212,0.301751,0.299646,53
pass_plus_non_hard_length_warning,diagonal_gaussian_nb,validation,original,original,0.703704,0.683694,0.683694,0.0,0.0,0.0,54
pass_plus_non_hard_length_warning,diagonal_gaussian_nb,validation,paraphrase,original,0.44898,0.415336,0.415023,0.254724,0.268358,0.268671,49
pass_plus_non_hard_length_warning,diagonal_gaussian_nb,validation,modernize,original,0.537037,0.525624,0.525624,0.166667,0.15807,0.15807,54
pass_plus_non_hard_length_warning,diagonal_gaussian_nb,validation,simplify,original,0.566038,0.51893,0.525291,0.137666,0.164764,0.158403,53
pass_plus_non_hard_length_warning,diagonal_gaussian_nb,test,original,original,0.759259,0.760859,0.760859,0.0,0.0,0.0,54
pass_plus_non_hard_length_warning,diagonal_gaussian_nb,test,paraphrase,original,0.48,0.443766,0.426569,0.279259,0.317093,0.33429,50
pass_plus_non_hard_length_warning,diagonal_gaussian_nb,test,modernize,original,0.592593,0.590047,0.590047,0.166666,0.170812,0.170812,54
pass_plus_non_hard_length_warning,diagonal_gaussian_nb,test,simplify,original,0.471698,0.456386,0.458136,0.287561,0.304473,0.302723,53
pass_plus_non_hard_length_warning,linear_discriminant_shrinkage,validation,original,original,0.666667,0.650204,0.650204,0.0,0.0,0.0,54
